time,down2total,lat,lon
2000-01-01,0.75482863,-34.5,-58.125
2000-01-02,0.7738136,-34.5,-58.125
2000-01-03,0.7782978,-34.5,-58.125
2000-01-04,0.7578603,-34.5,-58.125
2000-01-05,0.5140891,-34.5,-58.125
2000-01-06,0.73865646,-34.5,-58.125
2000-01-07,0.69143254,-34.5,-58.125
2000-01-08,0.6384522,-34.5,-58.125
2000-01-09,0.7349261,-34.5,-58.125
2000-01-10,0.43308374,-34.5,-58.125
2000-01-11,0.75276554,-34.5,-58.125
2000-01-12,0.55483454,-34.5,-58.125
2000-01-13,0.7411468,-34.5,-58.125
2000-01-14,0.68497103,-34.5,-58.125
2000-01-15,0.74079037,-34.5,-58.125
2000-01-16,0.491657,-34.5,-58.125
2000-01-17,0.6844523,-34.5,-58.125
2000-01-18,0.7652959,-34.5,-58.125
2000-01-19,0.75853485,-34.5,-58.125
2000-01-20,0.7532041,-34.5,-58.125
2000-01-21,0.39477205,-34.5,-58.125
2000-01-22,0.74335206,-34.5,-58.125
2000-01-23,0.7429869,-34.5,-58.125
2000-01-24,0.6031798,-34.5,-58.125
2000-01-25,0.7470106,-34.5,-58.125
2000-01-26,0.7617869,-34.5,-58.125
2000-01-27,0.7585553,-34.5,-58.125
2000-01-28,0.68700504,-34.5,-58.125
2000-01-29,0.7285097,-34.5,-58.125
2000-01-30,0.6640079,-34.5,-58.125
2000-01-31,0.74735886,-34.5,-58.125
2000-02-01,0.7310758,-34.5,-58.125
2000-02-02,0.5358122,-34.5,-58.125
2000-02-03,0.7750058,-34.5,-58.125
2000-02-04,0.7376815,-34.5,-58.125
2000-02-05,0.7651134,-34.5,-58.125
2000-02-06,0.6856884,-34.5,-58.125
2000-02-07,0.5868505,-34.5,-58.125
2000-02-08,0.71113265,-34.5,-58.125
2000-02-09,0.5191619,-34.5,-58.125
2000-02-10,0.7343636,-34.5,-58.125
2000-02-11,0.3386038,-34.5,-58.125
2000-02-12,0.32793003,-34.5,-58.125
2000-02-13,0.65442485,-34.5,-58.125
2000-02-14,0.57523286,-34.5,-58.125
2000-02-15,0.75629044,-34.5,-58.125
2000-02-16,0.76771003,-34.5,-58.125
2000-02-17,0.7359727,-34.5,-58.125
2000-02-18,0.75310296,-34.5,-58.125
2000-02-19,0.67891866,-34.5,-58.125
2000-02-20,0.65112406,-34.5,-58.125
2000-02-21,0.7203026,-34.5,-58.125
2000-02-22,0.7410753,-34.5,-58.125
2000-02-23,0.7114183,-34.5,-58.125
2000-02-24,0.5567335,-34.5,-58.125
2000-02-25,0.60776407,-34.5,-58.125
2000-02-26,0.57732075,-34.5,-58.125
2000-02-27,0.4691931,-34.5,-58.125
2000-02-28,0.7772873,-34.5,-58.125
2000-02-29,0.7701474,-34.5,-58.125
2000-03-01,0.73833364,-34.5,-58.125
2000-03-02,0.7013218,-34.5,-58.125
2000-03-03,0.7320584,-34.5,-58.125
2000-03-04,0.71842784,-34.5,-58.125
2000-03-05,0.4690099,-34.5,-58.125
2000-03-06,0.74209386,-34.5,-58.125
2000-03-07,0.7574333,-34.5,-58.125
2000-03-08,0.5950961,-34.5,-58.125
2000-03-09,0.52034235,-34.5,-58.125
2000-03-10,0.7221511,-34.5,-58.125
2000-03-11,0.7186716,-34.5,-58.125
2000-03-12,0.72694194,-34.5,-58.125
2000-03-13,0.73643947,-34.5,-58.125
2000-03-14,0.7210144,-34.5,-58.125
2000-03-15,0.7143957,-34.5,-58.125
2000-03-16,0.64781535,-34.5,-58.125
2000-03-17,0.75539684,-34.5,-58.125
2000-03-18,0.74488753,-34.5,-58.125
2000-03-19,0.71924603,-34.5,-58.125
2000-03-20,0.72504985,-34.5,-58.125
2000-03-21,0.611489,-34.5,-58.125
2000-03-22,0.75233144,-34.5,-58.125
2000-03-23,0.51555926,-34.5,-58.125
2000-03-24,0.75794786,-34.5,-58.125
2000-03-25,0.75200653,-34.5,-58.125
2000-03-26,0.28418878,-34.5,-58.125
2000-03-27,0.64394724,-34.5,-58.125
2000-03-28,0.7646563,-34.5,-58.125
2000-03-29,0.7565643,-34.5,-58.125
2000-03-30,0.67386264,-34.5,-58.125
2000-03-31,0.7062202,-34.5,-58.125
2000-04-01,0.7395472,-34.5,-58.125
2000-04-02,0.7500303,-34.5,-58.125
2000-04-03,0.6920514,-34.5,-58.125
2000-04-04,0.38606554,-34.5,-58.125
2000-04-05,0.6742519,-34.5,-58.125
2000-04-06,0.13992423,-34.5,-58.125
2000-04-07,0.2033335,-34.5,-58.125
2000-04-08,0.7411303,-34.5,-58.125
2000-04-09,0.5647792,-34.5,-58.125
2000-04-10,0.2896539,-34.5,-58.125
2000-04-11,0.7503341,-34.5,-58.125
2000-04-12,0.7072847,-34.5,-58.125
2000-04-13,0.6943804,-34.5,-58.125
2000-04-14,0.46394214,-34.5,-58.125
2000-04-15,0.6336264,-34.5,-58.125
2000-04-16,0.26920563,-34.5,-58.125
2000-04-17,0.61468154,-34.5,-58.125
2000-04-18,0.1519055,-34.5,-58.125
2000-04-19,0.36498472,-34.5,-58.125
2000-04-20,0.7233674,-34.5,-58.125
2000-04-21,0.72186273,-34.5,-58.125
2000-04-22,0.7129007,-34.5,-58.125
2000-04-23,0.7157946,-34.5,-58.125
2000-04-24,0.71921194,-34.5,-58.125
2000-04-25,0.58148587,-34.5,-58.125
2000-04-26,0.531942,-34.5,-58.125
2000-04-27,0.54340446,-34.5,-58.125
2000-04-28,0.71590626,-34.5,-58.125
2000-04-29,0.67965955,-34.5,-58.125
2000-04-30,0.5870212,-34.5,-58.125
2000-05-01,0.5174345,-34.5,-58.125
2000-05-02,0.7454603,-34.5,-58.125
2000-05-03,0.19240485,-34.5,-58.125
2000-05-04,0.21757574,-34.5,-58.125
2000-05-05,0.16592789,-34.5,-58.125
2000-05-06,0.7370235,-34.5,-58.125
2000-05-07,0.5549254,-34.5,-58.125
2000-05-08,0.722956,-34.5,-58.125
2000-05-09,0.70785636,-34.5,-58.125
2000-05-10,0.7084108,-34.5,-58.125
2000-05-11,0.42168885,-34.5,-58.125
2000-05-12,0.659651,-34.5,-58.125
2000-05-13,0.55955917,-34.5,-58.125
2000-05-14,0.571386,-34.5,-58.125
2000-05-15,0.2382707,-34.5,-58.125
2000-05-16,0.17567085,-34.5,-58.125
2000-05-17,0.40871453,-34.5,-58.125
2000-05-18,0.57185835,-34.5,-58.125
2000-05-19,0.59680414,-34.5,-58.125
2000-05-20,0.3298833,-34.5,-58.125
2000-05-21,0.5530133,-34.5,-58.125
2000-05-22,0.5654035,-34.5,-58.125
2000-05-23,0.34328127,-34.5,-58.125
2000-05-24,0.67847675,-34.5,-58.125
2000-05-25,0.30047968,-34.5,-58.125
2000-05-26,0.7248237,-34.5,-58.125
2000-05-27,0.7013522,-34.5,-58.125
2000-05-28,0.63909584,-34.5,-58.125
2000-05-29,0.30587035,-34.5,-58.125
2000-05-30,0.652101,-34.5,-58.125
2000-05-31,0.23503616,-34.5,-58.125
2000-06-01,0.69434977,-34.5,-58.125
2000-06-02,0.6970595,-34.5,-58.125
2000-06-03,0.71586454,-34.5,-58.125
2000-06-04,0.6397748,-34.5,-58.125
2000-06-05,0.4385841,-34.5,-58.125
2000-06-06,0.4537079,-34.5,-58.125
2000-06-07,0.22034347,-34.5,-58.125
2000-06-08,0.69503945,-34.5,-58.125
2000-06-09,0.5394762,-34.5,-58.125
2000-06-10,0.2753419,-34.5,-58.125
2000-06-11,0.3680238,-34.5,-58.125
2000-06-12,0.43277413,-34.5,-58.125
2000-06-13,0.43176264,-34.5,-58.125
