,0
2016-01-01,-3457.5675952844613
2016-01-02,-7328.494738141599
2016-01-03,-19156.416166713025
2016-01-04,-2762.8104524273367
2016-01-05,3272.5981190012535
2016-01-06,3914.4409761441057
2016-01-07,4180.875261858368
2016-01-08,8297.675261858385
2016-01-09,3209.4966904298053
2016-01-10,-12713.741880998714
2016-01-11,512.1824047155387
2016-01-12,3911.1281190012523
2016-01-13,4855.170976144116
2016-01-14,7367.748119001248
2016-01-15,7113.65811900128
2016-01-16,866.3124047155434
2016-01-17,-13058.646166713035
2016-01-18,2779.7438332869788
2016-01-19,11136.793833286967
2016-01-20,11443.17811900124
2016-01-21,10666.002404715517
2016-01-22,10554.54526185841
2016-01-23,-2730.6390238559106
2016-01-24,-19228.563309570192
2016-01-25,-5074.207595284446
2016-01-26,-2232.939023855899
2016-01-27,-6147.087595284451
2016-01-28,-4528.116166713007
2016-01-29,470.4295475727122
2016-01-30,-4510.330452427297
2016-01-31,-12463.789023855905
2016-02-01,4913.525261858391
2016-02-02,5631.982404715556
2016-02-03,4241.08097614412
2016-02-04,1988.5438332869671
2016-02-05,6623.436690429837
2016-02-06,-4314.6518809987465
2016-02-07,-19964.519023855886
2016-02-08,-4478.759023855906
2016-02-09,7086.413833286992
2016-02-10,6209.942404715548
2016-02-11,9683.236690429854
2016-02-12,9791.166690429847
2016-02-13,2589.4409761441057
2016-02-14,-9067.841880998749
2016-02-15,12529.656690429838
2016-02-16,15201.803833286976
2016-02-17,12148.322404715553
2016-02-18,10587.543833286967
2016-02-19,10124.002404715517
2016-02-20,95.93240471553872
2016-02-21,-14141.303309570183
2016-02-22,2536.459547572682
2016-02-23,12838.633833286993
2016-02-24,13295.666690429818
2016-02-25,12846.38669042982
2016-02-26,9852.272404715535
2016-02-27,-3572.407595284487
2016-02-28,-17509.22045242731
2016-02-29,1703.6238332869543
2016-03-01,7778.777655279526
2016-03-02,5644.991940993816
2016-03-03,8544.47336956524
2016-03-04,9589.990512422373
2016-03-05,-4316.60805900619
2016-03-06,-20501.492344720464
2016-03-07,-2817.2637732919247
2016-03-08,5548.590512422379
2016-03-09,8493.460512422374
2016-03-10,9123.611940993811
2016-03-11,9348.954798136663
2016-03-12,-1135.5294875776453
2016-03-13,-15110.080916149047
2016-03-14,-306.70948757760925
2016-03-15,10145.23336956522
2016-03-16,14032.089083850937
2016-03-17,11612.224798136682
2016-03-18,10855.490512422373
2016-03-19,301.94336956521147
2016-03-20,-10634.232344720454
2016-03-21,4979.594798136648
2016-03-22,10348.319083850947
2016-03-23,8676.536226708093
2016-03-24,3513.137655279512
2016-03-25,-13598.372344720468
2016-03-26,-13734.096630434768
2016-03-27,-15891.122344720468
2016-03-28,1837.4576552795188
2016-03-29,9567.679083850962
2016-03-30,13031.766226708103
2016-03-31,16734.261940993805
2016-04-01,10763.920512422366
2016-04-02,-4555.080916149047
2016-04-03,-17911.320916149038
2016-04-04,-1102.5266304347606
2016-04-05,5603.421940993809
2016-04-06,6818.8376552795235
2016-04-07,1712.2933695652173
2016-04-08,2114.7276552795083
2016-04-09,-4185.115201863344
2016-04-10,-8745.410916149063
2016-04-11,3903.383369565214
2016-04-12,6093.354798136657
2016-04-13,8792.150512422377
2016-04-14,10416.283369565237
2016-04-15,10602.494798136642
2016-04-16,-7647.7809161490295
2016-04-17,-16918.093773291912
2016-04-18,682.4390838509426
2016-04-19,863.8376552794944
2016-04-20,-1737.800916149019
2016-04-21,-4965.913773291919
2016-04-22,2095.0776552795433
2016-04-23,-5600.399487577612
2016-04-24,-13963.265201863338
2016-04-25,-2242.7380590061657
2016-04-26,790.9547981366632
2016-04-27,2226.791940993804
2016-04-28,2376.7690838509297
2016-04-29,4070.524798136641
2016-04-30,7155.710512422345
2016-05-01,-12547.10805900622
2016-05-02,-2669.8823447204777
2016-05-03,1449.3190838509472
2016-05-04,3531.0190838509297
2016-05-05,4771.967655279528
2016-05-06,3515.2462267080846
2016-05-07,-3542.4609161490516
2016-05-08,-15726.90948757762
2016-05-09,-1098.3866304347757
