time,down2total,lat,lon
2000-01-01,0.7958958,-33.5,-70.625
2000-01-02,0.79598314,-33.5,-70.625
2000-01-03,0.78834814,-33.5,-70.625
2000-01-04,0.7917492,-33.5,-70.625
2000-01-05,0.79607606,-33.5,-70.625
2000-01-06,0.8075075,-33.5,-70.625
2000-01-07,0.81379193,-33.5,-70.625
2000-01-08,0.80891925,-33.5,-70.625
2000-01-09,0.8132132,-33.5,-70.625
2000-01-10,0.8109719,-33.5,-70.625
2000-01-11,0.8168811,-33.5,-70.625
2000-01-12,0.81036675,-33.5,-70.625
2000-01-13,0.79627866,-33.5,-70.625
2000-01-14,0.8010399,-33.5,-70.625
2000-01-15,0.7928162,-33.5,-70.625
2000-01-16,0.79747814,-33.5,-70.625
2000-01-17,0.79291505,-33.5,-70.625
2000-01-18,0.80318075,-33.5,-70.625
2000-01-19,0.81408685,-33.5,-70.625
2000-01-20,0.8220685,-33.5,-70.625
2000-01-21,0.80461055,-33.5,-70.625
2000-01-22,0.8161292,-33.5,-70.625
2000-01-23,0.8288829,-33.5,-70.625
2000-01-24,0.82546586,-33.5,-70.625
2000-01-25,0.8216164,-33.5,-70.625
2000-01-26,0.80495584,-33.5,-70.625
2000-01-27,0.7916478,-33.5,-70.625
2000-01-28,0.78882855,-33.5,-70.625
2000-01-29,0.7098285,-33.5,-70.625
2000-01-30,0.7921176,-33.5,-70.625
2000-01-31,0.7820087,-33.5,-70.625
2000-02-01,0.5786142,-33.5,-70.625
2000-02-02,0.79236144,-33.5,-70.625
2000-02-03,0.7967386,-33.5,-70.625
2000-02-04,0.78979063,-33.5,-70.625
2000-02-05,0.79148126,-33.5,-70.625
2000-02-06,0.79695976,-33.5,-70.625
2000-02-07,0.7833831,-33.5,-70.625
2000-02-08,0.7957139,-33.5,-70.625
2000-02-09,0.7837801,-33.5,-70.625
2000-02-10,0.7180755,-33.5,-70.625
2000-02-11,0.755469,-33.5,-70.625
2000-02-12,0.655116,-33.5,-70.625
2000-02-13,0.7928587,-33.5,-70.625
2000-02-14,0.78915244,-33.5,-70.625
2000-02-15,0.7743961,-33.5,-70.625
2000-02-16,0.79478484,-33.5,-70.625
2000-02-17,0.7984398,-33.5,-70.625
2000-02-18,0.80065566,-33.5,-70.625
2000-02-19,0.7893522,-33.5,-70.625
2000-02-20,0.7992092,-33.5,-70.625
2000-02-21,0.7458713,-33.5,-70.625
2000-02-22,0.74274284,-33.5,-70.625
2000-02-23,0.7805151,-33.5,-70.625
2000-02-24,0.77462107,-33.5,-70.625
2000-02-25,0.78338856,-33.5,-70.625
2000-02-26,0.6920969,-33.5,-70.625
2000-02-27,0.81345004,-33.5,-70.625
2000-02-28,0.79679775,-33.5,-70.625
2000-02-29,0.7965366,-33.5,-70.625
2000-03-01,0.7946519,-33.5,-70.625
2000-03-02,0.7912333,-33.5,-70.625
2000-03-03,0.7902625,-33.5,-70.625
2000-03-04,0.7848472,-33.5,-70.625
2000-03-05,0.7937248,-33.5,-70.625
2000-03-06,0.7674541,-33.5,-70.625
2000-03-07,0.76945853,-33.5,-70.625
2000-03-08,0.76297176,-33.5,-70.625
2000-03-09,0.7498116,-33.5,-70.625
2000-03-10,0.75884914,-33.5,-70.625
2000-03-11,0.74786526,-33.5,-70.625
2000-03-12,0.73732156,-33.5,-70.625
2000-03-13,0.732963,-33.5,-70.625
2000-03-14,0.78532666,-33.5,-70.625
2000-03-15,0.7766689,-33.5,-70.625
2000-03-16,0.77476066,-33.5,-70.625
2000-03-17,0.7851492,-33.5,-70.625
2000-03-18,0.7744306,-33.5,-70.625
2000-03-19,0.7659852,-33.5,-70.625
