fecha	hora	demanda
2024-08-07	1	9258,279297
2024-08-07	2	8827,760742
2024-08-07	3	8548,047852
2024-08-07	4	8452,076172
2024-08-07	5	8435,754883
2024-08-07	6	8586,27832
2024-08-07	8	9363,333008
2024-08-07	9	9636,645508
2024-08-07	7	9429,523438
2024-08-06	1	9256,518555
2024-08-06	2	8953,652344
2024-08-06	3	8763,320312
2024-08-06	4	8460,313477
2024-08-06	6	8818,258789
2024-08-06	7	9779,232422
2024-08-06	8	9956,789062
2024-08-06	9	9897,178711
2024-08-06	10	9478,248047
2024-08-06	11	9306,191406
2024-08-06	12	9083,492188
2024-08-06	13	9026,088867
2024-08-06	14	9123,416992
2024-08-06	15	9046,853516
2024-08-06	16	9244,259766
2024-08-06	17	9530,921875
2024-08-06	19	10447,686523
2024-08-06	20	10598,131836
2024-08-06	5	8486,47168
2024-08-06	18	9995,332031
2020-11-03	23	9479,703244441705
2020-11-28	12	9306,665128271292
2020-08-06	3	7488,7142986177
2020-08-04	13	9239,9558954151
2020-12-15	24	9711,215099132602
2020-10-15	19	9315,1899470915
2020-09-22	7	8013,938470009202
2020-09-10	23	9353,230722698197
2020-11-12	17	9734,373727274091
2020-06-18	17	10147,964945000998
2020-07-10	3	7794,7947584234
2020-10-17	10	8427,541248104393
2020-07-04	15	9254,054431004102
2020-09-10	4	7641,430016084502
2020-10-15	16	9607,280336171514
2020-06-21	11	8114,930872029399
2020-07-29	13	9567,280381378492
2021-01-18	5	7871,5929814409
2020-06-23	21	9862,181547908996
2020-05-06	15	9088,5919484112
2020-12-18	13	9982,2845243777
2020-11-26	19	9705,365298302795
2020-11-28	13	9373,452750733686
2020-10-15	4	7757,936856804896
2020-10-07	15	9193,847860202604
2020-11-07	11	8730,86883573981
2020-10-29	16	9704,208150046095
2020-11-13	21	9188,1284009673
2021-03-06	16	9880,823127117537
2020-08-06	5	7419,5544343813035
2020-08-18	1	8659,7868874138
2020-07-21	21	9683,266595819894
2020-11-20	16	9754,477105430597
2020-09-09	4	7753,9749647959015
2020-09-03	23	9408,269215102599
2020-08-27	16	9291,147314929796
2020-09-19	16	7723,064524032703
2020-05-14	21	9709,953212413398
2020-08-27	20	10274,4153860961
2021-03-10	7	8686,500708343105
2020-05-12	14	9706,1372137969
2020-10-12	7	7300,957729250899
2020-07-31	17	9252,361803179
2020-10-25	17	7920,7029562667
2020-09-14	17	9128,671697301988
2020-12-11	18	9867,013407174396
2020-12-16	11	9944,478885024297
2021-01-27	7	8457,164301568897
2020-09-20	12	7873,995387639598
2020-09-04	11	9293,830507874498
2020-08-03	13	9214,154664789605
2020-09-04	4	7752,956953341501
2020-06-23	17	9835,138552681203
2020-08-07	10	8815,7651862677
2021-02-19	12	10025,422819998665
2020-05-19	18	9834,156430115305
2020-08-13	13	9659,331463287195
2021-02-15	6	7646,065633166899
2020-07-10	7	7830,814189201204
2020-11-11	20	9264,736013789996
2020-08-18	22	10125,963082936796
2021-02-09	13	9909,17121333926
2020-06-02	21	9493,833115451002
2020-06-07	7	7296,632603194701
2020-09-10	6	7675,146511952694
2020-05-16	12	8648,5113638153
2020-05-22	4	7559,000921555104
2020-06-09	22	9684,377686982405
2020-07-12	23	9013,406362995795
2020-10-14	21	9446,299650013794
2021-01-27	10	9699,64655735791
2020-08-11	11	9447,092687887
2020-09-14	16	9145,97901841349
2021-01-28	23	9764,030657783207
2020-05-25	24	8783,9570894376
2021-01-29	12	9965,045630601997
2020-05-09	7	7810,446299742401
2020-06-17	17	9885,208953411593
2020-05-04	22	9376,453172404304
2021-01-22	18	10244,413400881594
2020-09-01	10	9631,125710128093
2020-10-07	9	8585,2343629571
2020-07-15	10	8846,960971599194
2020-09-27	12	7949,394049015395
2021-01-05	13	10243,757918343004
2020-07-15	3	7785,6728988918985
2020-10-07	2	8095,452943490499
2021-01-05	20	9816,978452000702
2020-11-19	4	8126,436990024397
2021-02-03	12	9602,087379752884
2020-05-04	18	9423,464745378009
2020-07-09	11	9315,759065407305
2021-03-01	12	10460,216040641899
2020-08-27	8	8339,470088480999
2020-11-07	20	8631,372623450092
2020-09-22	11	9235,849260066701
2020-05-20	9	8625,468279423498
2021-02-21	6	7948,976157933701
2020-08-12	24	9262,118221919702
2020-05-06	7	7888,333245989605
2020-09-21	21	9733,354412342404
2020-07-15	15	9149,547117905597
2020-10-20	18	9282,018950681797
2020-05-09	4	7877,430933725801
2020-05-22	2	8001,9117470982
2021-01-05	10	9819,086821646802
2020-05-27	14	9732,779065159291
2020-10-08	14	9293,338564777896
2020-06-29	10	7764,362514121302
2020-10-15	15	9646,375633262898
2020-11-08	8	7102,304207108305
2020-07-21	11	9448,408211241793
2020-07-02	4	7444,1368906463995
2020-06-01	21	9445,218717202704
2020-08-08	13	8466,290438748201
2021-02-08	7	8021,87615647642
2020-08-10	16	9319,673992834598
2020-08-31	22	10099,823502029209
2020-05-14	6	7801,063514145799
2020-05-05	23	9166,184868858703
2020-08-05	7	7723,902999291502
2020-10-07	21	9483,594342289201
2020-05-16	21	9355,150842424795
2020-10-21	10	9230,74779646079
2020-11-29	5	7606,833736062701
2020-07-29	7	7961,407394836404
2021-01-27	17	10396,261574234395
2020-12-24	12	10294,7700672539
2020-06-18	15	10165,562800589902
2020-08-07	11	9073,818361882504
2020-08-08	6	7422,382748394902
2020-05-13	17	9267,956704655202
2020-06-05	5	7653,5349949945
2020-07-20	7	7586,799848753299
2021-02-23	21	10150,13241225073
2020-10-15	10	9128,667167255191
2020-06-25	18	10111,197630505889
2020-08-26	20	10121,824068007003
2020-07-30	17	9561,8309510992
2020-10-10	12	8716,960615252301
2020-07-05	21	9549,051153962202
2020-08-26	17	9408,168207476087
2020-05-20	24	8776,640968992902
2020-09-12	7	7609,907481479998
2020-08-26	23	9615,383620075298
2020-11-08	6	7297,431921927101
2020-05-21	4	7514,080885578001
2020-05-09	13	8765,345461812201
2021-03-10	18	10069,89311208501
2020-07-10	17	9405,851359360204
2020-06-23	22	9651,121070044002
2020-10-13	15	9662,4393537364
2020-06-04	1	8402,207020963297
2020-05-08	12	9260,316673047899
2021-02-08	23	9787,563754699302
2020-07-04	7	7355,443671771501
2020-11-10	22	9909,971759697912
2020-06-05	24	9144,589334028504
2020-07-02	23	9246,7861045499
2021-01-29	13	10001,828637588795
2020-09-06	23	9093,1090680321
2020-05-03	13	8053,4356762228035
2020-11-16	4	7442,161289266696
2020-05-16	16	8749,340944038198
2020-11-08	5	7355,479318393401
2020-04-30	22	9086,231922964298
2020-05-30	24	8845,860045997804
2021-01-16	16	9203,37093746
2020-11-21	16	8995,778701401521
2020-09-19	18	7572,063954747899
2020-12-29	18	10426,146541101105
2020-07-12	11	7806,862858711104
2020-06-24	12	9592,187681151501
2020-12-11	11	9899,025345772996
2020-09-10	9	8765,7097641498
2020-11-01	11	7913,749060358202
2020-07-21	3	7792,233405543599
2020-08-15	7	7337,1374621859995
2020-06-10	11	9720,996620304599
2020-06-12	17	9640,058332525088
2020-08-31	16	9487,7426102684
2020-11-23	21	9606,125501781922
2020-06-06	14	9155,485306237302
2021-02-08	4	7785,887110959198
2021-01-07	22	9915,619360809798
2020-06-23	15	10024,258928074207
2020-05-25	1	7979,928588132801
2020-09-05	24	8566,536918119396
2021-02-10	9	8960,934575731959
2020-10-12	24	8650,795337719805
2021-03-07	22	10102,779752189297
2020-09-21	8	8135,305233441303
2020-06-01	20	9578,707561303798
2020-11-11	18	9522,390376252002
2020-06-28	13	8385,633137537494
2020-08-10	1	8096,027091039397
2020-09-02	16	9002,689179232097
2020-06-18	21	9862,074985142106
2021-03-02	19	10121,001813960496
2020-11-11	6	8004,260966333197
2021-01-20	17	10567,49599129801
2021-02-09	15	10212,337636103288
2020-10-15	12	9451,420220584101
2020-09-03	15	9211,489921880606
2020-11-11	7	8140,1533742762995
2021-02-26	12	10590,105918190226
2020-05-08	18	9219,510341411802
2021-01-12	10	9734,92054418649
2021-01-30	8	7577,872916263001
2020-07-01	4	7654,033256613905
2020-05-19	6	7731,209651077003
2020-07-16	3	7445,449196020506
2020-05-08	4	7743,0825350734995
2020-11-20	6	8077,738368798502
2020-05-14	4	7808,802534633799
2020-08-27	6	7908,4211937368045
2020-09-09	21	9632,134374820997
2020-11-24	6	8083,821103756801
2020-05-21	23	9260,555205688193
2020-09-22	22	9477,868453030998
2020-05-08	9	8456,231100242701
2020-08-24	24	8792,057533333496
2020-05-16	19	9488,425489360901
2021-02-15	13	9855,686376812302
2020-06-21	22	9466,834687674902
2020-07-07	11	9540,9089897652
2020-06-12	7	8078,6630833951995
2020-10-10	1	8540,813742824794
2020-05-18	23	9325,751531315093
2020-09-17	9	8674,473889298008
2020-09-27	11	7731,618409798702
2020-07-06	18	9651,018272856809
2020-07-15	13	9183,149256616995
2020-10-23	1	8485,857479496493
2021-01-16	5	8041,348499951199
2021-02-10	24	9554,5748940636
2020-05-29	22	9812,9719173833
2020-12-14	3	8115,0388003111975
2020-06-20	21	9975,839278351697
2020-09-20	14	8170,1694284218975
2020-06-25	24	9298,522512530699
2020-10-24	6	7767,722630846201
2020-10-07	22	9528,1654480727
2020-10-15	2	8118,169132440999
2021-03-02	24	9658,633842406496
2020-09-09	8	8403,3870708417
2020-11-18	11	9421,646026385695
2020-06-26	1	8767,319724631403
2021-02-15	12	9815,483443917325
2020-07-05	7	6937,610314115696
2020-05-27	3	7828,2178458086955
2020-10-07	5	7664,033899140999
2021-03-02	16	10706,718918617336
2020-12-20	4	8004,530355694203
2021-01-16	12	9169,827256529496
2020-11-16	11	9381,200057267395
2020-11-14	3	7781,8247916090995
2021-01-20	24	9566,199333148
2021-02-26	15	10913,216210277846
2020-11-10	13	9799,451350887197
2020-10-28	15	9693,167526327295
2021-02-03	20	9348,716703552973
2020-07-15	18	8918,746061117596
2020-06-17	18	9717,95951442109
2020-11-05	7	8001,7810240725985
2020-08-31	4	7715,238628602505
2020-06-13	6	7780,342712923196
2020-05-21	14	8812,039829830688
2020-11-10	16	9950,321986261495
2020-11-17	22	9615,024431354399
2020-09-08	21	10112,703406843988
2020-06-07	23	9303,056813901896
2020-10-26	6	7685,2238763997975
2020-09-08	12	9704,7086055788
2020-11-16	14	9706,705622493993
2020-11-21	6	7873,675014445304
2020-12-21	20	10091,442066849808
2021-02-14	24	8578,959064067101
2020-06-24	1	8622,351246872999
2020-07-09	6	7543,5608026558975
2021-04-13	18	9820,614841585302
2021-02-02	15	10028,30947023776
2020-07-17	24	9099,208160315202
2020-05-09	6	7754,212524964298
2021-02-09	16	10258,323879266183
2020-09-18	21	8538,739428167803
2020-06-16	6	7708,354726102701
2020-09-11	8	8393,308162282105
2020-10-23	24	8908,195838127302
2020-06-09	6	7880,509906555302
2020-11-08	15	8424,323243347297
2020-11-16	6	7582,109666088504
2020-07-01	14	9725,747172997304
2020-11-11	14	9764,066812789302
2020-05-18	22	9582,314609919198
2021-01-25	23	10258,063258391601
2020-08-27	3	8049,5119739751035
2020-12-16	2	8697,3474725721
2020-05-25	18	9198,243771102696
2020-09-24	22	9620,214735873898
2020-09-21	17	9294,083590409493
2020-09-17	4	7801,281439100001
2020-05-22	16	9205,248611503695
2020-08-05	24	8717,352332489396
2021-01-15	16	10064,349504580701
2020-09-04	16	9067,949812844505
2020-11-10	20	9399,675141411393
2020-08-07	13	9130,228603118692
2021-03-09	18	10625,888653230604
2020-07-10	19	9601,191478934796
2021-02-08	19	9739,150841650258
2020-06-04	5	7522,438215689095
2020-06-04	14	9410,137210222198
2020-07-12	7	7171,840103310098
2020-06-26	3	7931,368271172102
2020-07-20	12	9414,742866298993
2020-06-13	4	7954,629109676
2020-09-16	6	7711,352678814698
2020-10-08	6	7702,9160780930015
2021-01-26	6	8407,943003391198
2021-03-02	20	9840,542045638535
2021-02-23	17	10645,653111935058
2020-07-02	17	9059,7165099668
2020-10-12	9	7385,280395516003
2020-10-19	24	8935,855780876296
2020-05-08	6	7766,3142402029025
2020-09-16	21	9628,3654967018
2020-04-30	18	8917,170333781998
2020-07-26	12	8348,801633513298
2020-10-20	12	9462,246366493497
2020-08-13	11	9730,444874701
2020-10-12	10	7661,384544361898
2020-09-21	13	9367,295513803198
2020-07-17	19	9618,623702811698
2020-07-20	4	7333,374020276899
2020-11-07	14	9083,248858776
2021-02-01	9	8591,70368212411
2020-10-16	15	9477,725686312602
2020-10-20	19	9113,142006328902
2020-11-23	6	7695,8318838630985
2020-06-23	3	7966,1655963182
2020-07-18	21	9548,234620576397
2020-05-22	6	7508,8230781233015
2021-03-07	18	9198,547987714104
2020-09-17	17	8384,288699769402
2020-04-30	5	7799,898702171402
2020-09-21	23	9384,4300986035
2021-01-05	12	10235,514875925504
2020-05-27	12	9603,721849803102
2020-04-30	16	9255,698738486903
2020-05-05	20	9718,216543077097
2020-08-02	15	8190,279589472403
2020-05-24	24	8358,842675148202
2020-10-18	6	7343,851263592495
2020-12-23	10	9961,499207927298
2020-11-01	5	7526,1358041245
2020-11-10	6	7961,958854716197
2020-11-05	8	8140,435308566603
2020-09-01	23	9666,5537272128
2020-09-04	21	9857,362985555701
2020-08-17	5	7247,314246729598
2020-11-13	7	8068,1873777816945
2020-10-29	24	9218,531517233096
2020-11-25	6	8025,698074949096
2021-02-28	20	9155,29892156778
2020-06-19	4	7831,173177869697
2020-10-17	13	8971,498605339099
2021-02-02	24	9305,8560061286
