,1
2014-01-01,152031.33
2014-01-02,179189.14
2014-01-03,186440.99
2014-01-04,178897.51
2014-01-05,165416.77
2014-01-06,188202.78
2014-01-07,191079.14
2014-01-08,191174.91
2014-01-09,187854.94
2014-01-10,189729.34
2014-01-11,179903.79
2014-01-12,168698.85
2014-01-13,189840.68
2014-01-14,193056.88
2014-01-15,193245.76
2014-01-16,191615.06
2014-01-17,192770.97
2014-01-18,181803.52
2014-01-19,166812.61000000002
2014-01-20,189730.68
2014-01-21,190887.57
2014-01-22,191352.41999999998
2014-01-23,189910.95
2014-01-24,188767.16
2014-01-25,179012.91
2014-01-26,167846.03
2014-01-27,187175.0
2014-01-28,192939.01
2014-01-29,194540.8
2014-01-30,194586.14
2014-01-31,194191.44
2014-02-01,179194.97
2014-02-02,165408.68
2014-02-03,187160.59
2014-02-04,190249.13
2014-02-05,187912.84
2014-02-06,188462.24
2014-02-07,187459.74
2014-02-08,178011.61000000002
2014-02-09,166943.78
2014-02-10,186367.36000000002
2014-02-11,190280.55
2014-02-12,191940.68
2014-02-13,192229.95
2014-02-14,192278.85
2014-02-15,180373.66999999998
2014-02-16,169242.43
2014-02-17,189318.65
2014-02-18,192400.77
2014-02-19,193545.75
2014-02-20,193579.56
2014-02-21,192460.54
2014-02-22,180991.46
2014-02-23,169392.04
2014-02-24,187334.46
2014-02-25,191511.84
2014-02-26,195297.38999999998
2014-02-27,195117.11
2014-02-28,194023.21
2014-03-01,181650.67
2014-03-02,169170.54
2014-03-03,188433.57
2014-03-04,192370.99
2014-03-05,191006.92
2014-03-06,192872.67
2014-03-07,194628.81
2014-03-08,183925.43
2014-03-09,170593.53
2014-03-10,190884.5
2014-03-11,191824.45
2014-03-12,190514.59
2014-03-13,189952.07
2014-03-14,191840.09
2014-03-15,181001.58
2014-03-16,167870.46
2014-03-17,188933.91999999998
2014-03-18,192451.28
2014-03-19,189896.99
2014-03-20,191881.1
2014-03-21,193227.12
2014-03-22,182910.0
2014-03-23,169071.93
2014-03-24,189824.14
2014-03-25,193216.76
2014-03-26,193722.21
2014-03-27,192903.08
2014-03-28,192214.58
2014-03-29,181811.16
2014-03-30,166543.77
2014-03-31,181196.24
2014-04-01,181516.12
2014-04-02,179844.27
2014-04-03,183941.18
2014-04-04,183832.63
2014-04-05,175710.48
2014-04-06,166052.45
2014-04-07,183236.57
2014-04-08,184918.15
2014-04-09,182693.33
2014-04-10,179796.88999999998
2014-04-11,182824.75
2014-04-12,177754.5
2014-04-13,167657.24
2014-04-14,184076.19
2014-04-15,187981.06
2014-04-16,187343.97
2014-04-17,185347.5
2014-04-18,163829.82
2014-04-19,164399.41
2014-04-20,164015.47
2014-04-21,183626.04
2014-04-22,188741.63
2014-04-23,188598.94
2014-04-24,188628.1
2014-04-25,189512.02
2014-04-26,182550.04
2014-04-27,167220.61
2014-04-28,185507.83
2014-04-29,189013.35
2014-04-30,189612.92
2014-05-01,167887.3
2014-05-02,183058.53
2014-05-03,176998.45
2014-05-04,168038.81
2014-05-05,185410.38
2014-05-06,187387.36000000002
2014-05-07,187442.78
2014-05-08,186138.66
2014-05-09,188755.82
2014-05-10,181794.89
2014-05-11,170255.85
2014-05-12,186176.98
2014-05-13,189167.99
2014-05-14,188279.85
2014-05-15,186620.29
2014-05-16,185850.92
2014-05-17,178307.32
2014-05-18,167674.0
2014-05-19,186387.74
2014-05-20,192349.48
2014-05-21,176826.65
2014-05-22,188261.96
2014-05-23,189065.11000000002
2014-05-24,180441.74
2014-05-25,172608.68
2014-05-26,189392.23
2014-05-27,191405.78
2014-05-28,191243.94
2014-05-29,190537.38
2014-05-30,190677.99
2014-05-31,181125.37
2014-06-01,169753.03
2014-06-02,188806.06
2014-06-03,194354.61
2014-06-04,190220.06
2014-06-05,189534.75
2014-06-06,194011.64
2014-06-07,185303.7
2014-06-08,176414.36
2014-06-09,189649.76
2014-06-10,192001.12
2014-06-11,195693.47
2014-06-12,196885.91999999998
2014-06-13,192112.83
2014-06-14,182900.3
2014-06-15,170776.23
2014-06-16,187144.96
2014-06-17,187131.69
2014-06-18,185311.66
2014-06-19,190167.77
2014-06-20,191657.19
2014-06-21,185351.6
2014-06-22,174900.29
2014-06-23,190790.27
2014-06-24,194373.34
2014-06-25,198261.09
2014-06-26,196984.09
2014-06-27,196359.44
2014-06-28,182777.32
2014-06-29,172790.53
2014-06-30,196015.13
2014-07-01,195779.91
2014-07-02,192790.65
2014-07-03,190451.68
2014-07-04,193764.13999999998
2014-07-05,183359.9
2014-07-06,172934.29
2014-07-07,189477.5
2014-07-08,191787.9
2014-07-09,191343.66
2014-07-10,189055.67
2014-07-11,192572.04
2014-07-12,181136.64
2014-07-13,171418.32
2014-07-14,190947.75
2014-07-15,191088.29
2014-07-16,173391.16
2014-07-17,184938.73
2014-07-18,187192.14
2014-07-19,177232.82
2014-07-20,172074.44
2014-07-21,191268.68
2014-07-22,195132.05
2014-07-23,193386.66999999998
2014-07-24,193943.98
2014-07-25,192806.15
2014-07-26,184127.49
2014-07-27,172875.96
2014-07-28,185674.54
2014-07-29,188519.64
2014-07-30,192012.94
2014-07-31,192795.2
2014-08-01,189599.98
2014-08-02,178263.28
2014-08-03,169579.18
2014-08-04,190174.77
2014-08-05,192969.24
2014-08-06,195070.97
2014-08-07,194492.95
2014-08-08,193920.75
2014-08-09,184338.74
2014-08-10,173285.72
2014-08-11,190987.54
2014-08-12,191622.04
2014-08-13,191058.96
2014-08-14,190029.93
2014-08-15,175548.28
2014-08-16,173696.2
2014-08-17,166798.69
2014-08-18,184129.59
2014-08-19,189076.43
2014-08-20,188538.56
2014-08-21,188034.91
2014-08-22,192470.39
2014-08-23,184047.78
2014-08-24,173050.27
2014-08-25,188589.91
2014-08-26,189689.14
2014-08-27,193833.38
2014-08-28,192970.59
2014-08-29,190637.7
2014-08-30,181083.81
2014-08-31,172168.76
2014-09-01,190898.08000000002
2014-09-02,193728.85
2014-09-03,193213.21
2014-09-04,191203.12
2014-09-05,192674.59
2014-09-06,181748.57
2014-09-07,169572.1
2014-09-08,187677.0
2014-09-09,190032.27
2014-09-10,186635.22
2014-09-11,183671.5
2014-09-12,182691.5
2014-09-13,178820.57
2014-09-14,166096.76
2014-09-15,181876.32
2014-09-16,182421.82
2014-09-17,178120.43
2014-09-18,157449.04
2014-09-19,154840.78
2014-09-20,162900.42
2014-09-21,163554.66
2014-09-22,187161.49
2014-09-23,190583.53
2014-09-24,191777.96
2014-09-25,188880.97
2014-09-26,188674.83
2014-09-27,180144.6
2014-09-28,167505.09
2014-09-29,184902.78
2014-09-30,185413.6
2014-10-01,186041.88
2014-10-02,186163.67
2014-10-03,189191.45
2014-10-04,176888.22
2014-10-05,165394.19
2014-10-06,186366.31
2014-10-07,187089.35
2014-10-08,186760.08
2014-10-09,186711.16999999998
2014-10-10,187006.11
2014-10-11,176653.75
2014-10-12,163371.78
2014-10-13,184791.8
2014-10-14,188238.8
2014-10-15,187997.23
2014-10-16,188163.5
2014-10-17,190588.75
2014-10-18,180261.23
2014-10-19,166355.94
2014-10-20,187414.45
2014-10-21,190451.55
2014-10-22,192845.66
2014-10-23,194148.63
2014-10-24,194513.56
2014-10-25,183610.02
2014-10-26,168844.66999999998
2014-10-27,188798.26
2014-10-28,193277.01
2014-10-29,191004.39
2014-10-30,188887.92
2014-10-31,169874.39
2014-11-01,164838.81
2014-11-02,163420.15
2014-11-03,186904.44
2014-11-04,189791.17
2014-11-05,190789.42
2014-11-06,193652.05
2014-11-07,191105.86
2014-11-08,183008.05
2014-11-09,169977.06
2014-11-10,190348.72
2014-11-11,191784.36000000002
2014-11-12,190805.58
2014-11-13,193844.07
2014-11-14,195670.96
2014-11-15,184133.58000000002
2014-11-16,170983.47
2014-11-17,192975.95
2014-11-18,193302.6
2014-11-19,192674.27
2014-11-20,193376.5
2014-11-21,194054.71
2014-11-22,183281.84
2014-11-23,167932.35
2014-11-24,188991.38
2014-11-25,191257.9
2014-11-26,193287.4
2014-11-27,194208.84
2014-11-28,192685.59
2014-11-29,180583.01
2014-11-30,163966.02
2014-12-01,185291.39
2014-12-02,191818.26
2014-12-03,192998.02
2014-12-04,193555.19
2014-12-05,190693.4
2014-12-06,178415.92
2014-12-07,165085.12
2014-12-08,171681.21
2014-12-09,190613.2
2014-12-10,193037.81
2014-12-11,194898.85
2014-12-12,195050.45
2014-12-13,182997.83
2014-12-14,168262.28
2014-12-15,189517.56
2014-12-16,192141.48
2014-12-17,193843.42
2014-12-18,194801.01
2014-12-19,194474.65
2014-12-20,182820.27
2014-12-21,168206.83
2014-12-22,190035.29
2014-12-23,196365.04
2014-12-24,188898.88
2014-12-25,163102.48
2014-12-26,187879.53
2014-12-27,183233.54
2014-12-28,171409.34
2014-12-29,193914.96
2014-12-30,195847.09
2014-12-31,184966.11
2015-01-01,156049.11
2015-01-02,180445.58
2015-01-03,181022.22
2015-01-04,171373.56
2015-01-05,191988.63
2015-01-06,192175.71
2015-01-07,189456.71
2015-01-08,192633.54
2015-01-09,196974.08
2015-01-10,185941.84
2015-01-11,170057.31
2015-01-12,191425.74
2015-01-13,193052.52
2015-01-14,193932.92
2015-01-15,198326.4
2015-01-16,199169.72
2015-01-17,188123.04
2015-01-18,171874.93
2015-01-19,193239.36
2015-01-20,197844.57
2015-01-21,197114.8
2015-01-22,197937.77
2015-01-23,197701.56
2015-01-24,187231.01
2015-01-25,172209.06
2015-01-26,196282.9
2015-01-27,201374.26
2015-01-28,200987.78
2015-01-29,199577.1
2015-01-30,199088.62
2015-01-31,186305.9
2015-02-01,171611.62
2015-02-02,191757.37
2015-02-03,195417.91
2015-02-04,197292.12
2015-02-05,196647.39
2015-02-06,196683.22
2015-02-07,185136.58000000002
2015-02-08,170570.42
2015-02-09,189554.13
2015-02-10,195442.87
2015-02-11,197818.36
2015-02-12,198872.35
2015-02-13,199186.48
2015-02-14,185180.08
2015-02-15,171642.4
2015-02-16,191936.78
2015-02-17,194976.4
2015-02-18,195482.24
2015-02-19,194267.17
2015-02-20,193540.38
2015-02-21,183342.97
2015-02-22,173482.86
2015-02-23,194020.27
2015-02-24,195120.19
2015-02-25,194794.59
2015-02-26,193693.92
2015-02-27,192958.25
2015-02-28,180445.44
2015-03-01,168852.93
2015-03-02,191853.68
2015-03-03,195844.91
2015-03-04,196715.66
2015-03-05,194217.21
2015-03-06,196547.49
2015-03-07,183988.99
2015-03-08,169639.06
2015-03-09,193039.86
2015-03-10,197014.73
2015-03-11,199560.02
2015-03-12,201119.53
2015-03-13,199982.55
2015-03-14,187513.75
2015-03-15,174826.57
2015-03-16,196592.64
2015-03-17,199055.75
2015-03-18,198373.37
2015-03-19,200806.18
2015-03-20,201682.76
2015-03-21,188398.26
2015-03-22,173372.81
2015-03-23,192651.2
2015-03-24,185149.28
2015-03-25,187503.88
2015-03-26,187231.3
2015-03-27,188132.58000000002
2015-03-28,177389.03
2015-03-29,165081.94
2015-03-30,184401.75
2015-03-31,189011.43
2015-04-01,186205.3
2015-04-02,184462.11
2015-04-03,163609.58
2015-04-04,163420.15
2015-04-05,163806.99
2015-04-06,183288.69
2015-04-07,186004.86
2015-04-08,185682.8
2015-04-09,186071.73
2015-04-10,187748.88999999998
2015-04-11,178850.82
2015-04-12,167604.99
2015-04-13,184781.49
2015-04-14,186294.34
2015-04-15,185545.32
2015-04-16,185911.24
2015-04-17,186625.46
2015-04-18,179032.69
2015-04-19,168319.65
2015-04-20,185193.64
2015-04-21,187990.55
2015-04-22,188203.31
2015-04-23,187379.9
2015-04-24,188694.63999999998
2015-04-25,179619.62
2015-04-26,169255.88
2015-04-27,187436.26
2015-04-28,188536.53
2015-04-29,190544.28
2015-04-30,188687.0
2015-05-01,166959.51
2015-05-02,172773.66
2015-05-03,167294.06
2015-05-04,186258.97
2015-05-05,187785.16
2015-05-06,186000.87
2015-05-07,188579.56
2015-05-08,188045.32
2015-05-09,178072.3
2015-05-10,165336.26
2015-05-11,186725.6
2015-05-12,191797.06
2015-05-13,189846.61
2015-05-14,188933.45
2015-05-15,188239.19
2015-05-16,177664.21
2015-05-17,169051.23
2015-05-18,187314.65
2015-05-19,189182.7
2015-05-20,189075.45
2015-05-21,175138.33
2015-05-22,185709.52
2015-05-23,179800.71
2015-05-24,171559.33000000002
2015-05-25,194878.66
2015-05-26,196283.28
2015-05-27,195579.38
2015-05-28,198273.63
2015-05-29,193871.48
2015-05-30,183147.21
2015-05-31,172696.88
2015-06-01,193658.5
2015-06-02,194096.34
2015-06-03,191487.91
2015-06-04,193416.64
2015-06-05,192991.65
2015-06-06,182428.0
2015-06-07,171992.45
2015-06-08,191815.43
2015-06-09,195430.01
2015-06-10,196140.38999999998
2015-06-11,196715.71
2015-06-12,198186.39
2015-06-13,187163.4
2015-06-14,177134.7
2015-06-15,197800.36
2015-06-16,201478.63
2015-06-17,200338.1
2015-06-18,197286.86
2015-06-19,196885.78
2015-06-20,184253.56
2015-06-21,174023.21
2015-06-22,194548.54
2015-06-23,199339.93
2015-06-24,197760.24
2015-06-25,197203.13
2015-06-26,195322.28
2015-06-27,185563.48
2015-06-28,172614.75
2015-06-29,176918.67
2015-06-30,195526.74
2015-07-01,197416.43
2015-07-02,195714.06
2015-07-03,196088.16
2015-07-04,182832.55
2015-07-05,176671.24
2015-07-06,192224.14
2015-07-07,196571.07
2015-07-08,198649.57
2015-07-09,197569.91999999998
2015-07-10,198665.94
2015-07-11,188616.67
2015-07-12,173353.18
2015-07-13,191011.56
2015-07-14,194864.22
2015-07-15,199180.38
2015-07-16,181430.77
2015-07-17,192253.41
2015-07-18,184443.92
2015-07-19,175667.44
2015-07-20,197935.92
2015-07-21,199132.62
2015-07-22,198003.06
2015-07-23,195002.22
2015-07-24,195256.46
2015-07-25,183922.97
2015-07-26,174285.69
2015-07-27,195709.81
2015-07-28,195726.18
2015-07-29,195516.48
2015-07-30,196787.85
2015-07-31,194947.3
2015-08-01,185536.36000000002
2015-08-02,176078.57
2015-08-03,194609.49
2015-08-04,191576.35
2015-08-05,193765.02
2015-08-06,194545.08000000002
2015-08-07,189703.39
2015-08-08,176729.13
2015-08-09,168826.61
2015-08-10,190742.27
2015-08-11,195520.69
2015-08-12,197823.38
2015-08-13,194685.93
2015-08-14,193885.05
2015-08-15,177626.51
2015-08-16,171532.24
2015-08-17,195004.05
2015-08-18,194030.65
2015-08-19,191907.44
2015-08-20,190053.46
2015-08-21,193760.54
2015-08-22,183711.04
2015-08-23,174138.22
2015-08-24,191707.30000000002
2015-08-25,195163.28
2015-08-26,192807.22
2015-08-27,196300.96
2015-08-28,193045.88
2015-08-29,180269.01
2015-08-30,168206.53
2015-08-31,186877.51
2015-09-01,187445.0
2015-09-02,187851.75
2015-09-03,188500.18
2015-09-04,188031.69
2015-09-05,179859.45
2015-09-06,170754.37
2015-09-07,191852.9
2015-09-08,191196.63
2015-09-09,192592.32
2015-09-10,190203.31
2015-09-11,187992.95
2015-09-12,178040.36
2015-09-13,168739.95
2015-09-14,189035.98
2015-09-15,189764.95
2015-09-16,187504.21
2015-09-17,167266.84
2015-09-18,158467.8
2015-09-19,160686.13
2015-09-20,165138.82
2015-09-21,187067.97
2015-09-22,189269.16
2015-09-23,190727.84
2015-09-24,192444.54
2015-09-25,193859.61
2015-09-26,182466.26
2015-09-27,174335.43
2015-09-28,188093.77
2015-09-29,189520.21
2015-09-30,186037.7
2015-10-01,188465.49
2015-10-02,189706.73
2015-10-03,180342.8
2015-10-04,171134.05
2015-10-05,192965.19
2015-10-06,194178.39
2015-10-07,190591.88
2015-10-08,192276.54
2015-10-09,189374.76
2015-10-10,177024.71
2015-10-11,163382.97
2015-10-12,169317.17
2015-10-13,188419.87
2015-10-14,195164.8
2015-10-15,191200.1
2015-10-16,193596.54
2015-10-17,179427.85
2015-10-18,166271.26
2015-10-19,188548.92
2015-10-20,189588.9
2015-10-21,189212.4
2015-10-22,188588.58000000002
2015-10-23,189501.41
2015-10-24,180260.73
2015-10-25,166133.47
2015-10-26,187172.49
2015-10-27,191283.87
2015-10-28,191711.47
2015-10-29,189809.21
2015-10-30,189377.75
2015-10-31,168372.07
2015-11-01,164922.83
2015-11-02,188955.45
2015-11-03,191651.24
2015-11-04,191461.24
2015-11-05,190509.81
2015-11-06,189703.62
2015-11-07,178297.21
2015-11-08,167571.78
2015-11-09,188339.18
2015-11-10,191455.9
2015-11-11,191837.34
2015-11-12,191184.25
2015-11-13,193596.48
2015-11-14,182620.67
2015-11-15,168566.66
2015-11-16,189272.56
2015-11-17,192104.93
2015-11-18,192045.0
2015-11-19,192031.35
2015-11-20,193480.87
2015-11-21,180549.32
2015-11-22,167937.35
2015-11-23,189893.19
2015-11-24,191530.13
2015-11-25,193302.01
2015-11-26,193346.06
2015-11-27,193070.24
2015-11-28,184490.57
2015-11-29,170602.72
2015-11-30,192321.37
2015-12-01,196036.09
2015-12-02,195084.14
2015-12-03,193582.42
2015-12-04,195375.91999999998
2015-12-05,186395.05
2015-12-06,172083.79
2015-12-07,192019.82
2015-12-08,178474.23
2015-12-09,196007.36
2015-12-10,199708.99
2015-12-11,199241.74
2015-12-12,183961.24
2015-12-13,170559.5
2015-12-14,194349.72
2015-12-15,198589.51
2015-12-16,196518.01
2015-12-17,193241.76
2015-12-18,197459.74
2015-12-19,187031.75
2015-12-20,171970.91
2015-12-21,194173.06
2015-12-22,197060.61
2015-12-23,197124.84
2015-12-24,189953.8
2015-12-25,164843.6
2015-12-26,176041.26
2015-12-27,172677.16
2015-12-28,195375.24
2015-12-29,197605.16
2015-12-30,197584.68
2015-12-31,185872.69
2016-01-01,167686.57
2016-01-02,182553.02
2016-01-03,180432.15
2016-01-04,203241.77000000002
2016-01-05,206388.09
2016-01-06,205563.61
2016-01-07,205764.46
2016-01-08,208508.28
2016-01-09,199371.33
2016-01-10,184036.35
2016-01-11,203319.74
2016-01-12,203906.04
2016-01-13,203711.1
2016-01-14,206381.99
2016-01-15,205463.25
2016-01-16,197898.03
2016-01-17,185686.75
2016-01-18,207430.19
2016-01-19,211953.36
2016-01-20,213921.46
2016-01-21,212841.83000000002
2016-01-22,212260.89
2016-01-23,198416.3
2016-01-24,179670.8
2016-01-25,203585.67
2016-01-26,203389.47
2016-01-27,199986.86
2016-01-28,201887.98
2016-01-29,204937.63
2016-01-30,196854.23
2016-01-31,186422.96
2016-02-01,208254.54
2016-02-02,207885.32
2016-02-03,204426.21
2016-02-04,203039.78
2016-02-05,209287.45
2016-02-06,196116.76
2016-02-07,179066.87
2016-02-08,199384.78
2016-02-09,208121.69
2016-02-10,207039.91
2016-02-11,209764.47
2016-02-12,209958.45
2016-02-13,201148.23
2016-02-14,188350.03
2016-02-15,215928.73
2016-02-16,216755.28
2016-02-17,214222.53
2016-02-18,212801.69
2016-02-19,213531.41
2016-02-20,203301.72
2016-02-21,189709.02
2016-02-22,211928.75
2016-02-23,219149.16
2016-02-24,218612.57
2016-02-25,218791.58000000002
2016-02-26,216750.77
2016-02-27,201560.46
2016-02-28,187410.57
2016-02-29,209745.38999999998
2016-03-01,214611.18
2016-03-02,212624.91
2016-03-03,214862.96
2016-03-04,217596.47
2016-03-05,201860.78
2016-03-06,184920.06
2016-03-07,206730.16
2016-03-08,211305.5
2016-03-09,213778.84
2016-03-10,215587.13
2016-03-11,216754.93
2016-03-12,204018.9
2016-03-13,189306.36
2016-03-14,207436.08
2016-03-15,214166.83
2016-03-16,217490.8
2016-03-17,216512.8
2016-03-18,215144.17
2016-03-19,202591.62
2016-03-20,192020.32
2016-03-21,213071.91
2016-03-22,215508.05
2016-03-23,212304.24
2016-03-24,207182.09
2016-03-25,187014.01
2016-03-26,186843.28
2016-03-27,185027.76
2016-03-28,207651.32
2016-03-29,209389.85
2016-03-30,213079.38
2016-03-31,213991.76
2016-04-01,203938.09
2016-04-02,187647.33
2016-04-03,174125.92
2016-04-04,194795.98
2016-04-05,200903.81
2016-04-06,201298.91
2016-04-07,196067.95
2016-04-08,197326.62
2016-04-09,188532.05
2016-04-10,181576.21
2016-04-11,200991.04
2016-04-12,203976.34
2016-04-13,202677.56
2016-04-14,203593.85
2016-04-15,206818.03
2016-04-16,188777.64
2016-04-17,179689.47
2016-04-18,195230.02
2016-04-19,197569.11
2016-04-20,196130.39
2016-04-21,193374.55
2016-04-22,200504.95
2016-04-23,191742.13
2016-04-24,182749.09
2016-04-25,200087.67
2016-04-26,202667.09
2016-04-27,204035.18
2016-04-28,203706.11
2016-04-29,203875.49
2016-04-30,193763.46
2016-05-01,181365.75
2016-05-02,199462.6
2016-05-03,203434.02
2016-05-04,204333.9
2016-05-05,205354.22999999998
2016-05-06,204552.05
2016-05-07,195916.57
2016-05-08,182811.62
2016-05-09,203047.26
2016-05-10,206996.9
2016-05-11,209755.96
2016-05-12,207788.12
2016-05-13,205389.66
2016-05-14,195078.93
2016-05-15,182927.89
2016-05-16,198203.43
2016-05-17,199415.79
2016-05-18,202470.24
2016-05-19,202312.4
2016-05-20,204425.63
2016-05-21,190962.59
2016-05-22,186999.35
2016-05-23,205396.01
2016-05-24,207575.13999999998
2016-05-25,201257.62
2016-05-26,201545.4
2016-05-27,205319.82
2016-05-28,200655.2
2016-05-29,193681.54
2016-05-30,207650.66999999998
2016-05-31,209636.13
2016-06-01,207929.26
2016-06-02,212110.05
2016-06-03,213263.13999999998
2016-06-04,194542.26
2016-06-05,191330.49
2016-06-06,208059.38
2016-06-07,207878.72
2016-06-08,204717.17
2016-06-09,210371.19
2016-06-10,211448.56
2016-06-11,201582.81
2016-06-12,194589.63
2016-06-13,211328.54
2016-06-14,213645.72999999998
2016-06-15,213642.14
2016-06-16,211236.72999999998
2016-06-17,211313.09
2016-06-18,199158.74
2016-06-19,190835.75
2016-06-20,212250.0
2016-06-21,213164.81
2016-06-22,211859.38
2016-06-23,210088.98
2016-06-24,212734.49
2016-06-25,197460.13
2016-06-26,187223.13
2016-06-27,192195.98
2016-06-28,211161.85
2016-06-29,216438.38
2016-06-30,216144.03
2016-07-01,212167.2
2016-07-02,202259.01
2016-07-03,190902.94
2016-07-04,207395.1
2016-07-05,207810.68
2016-07-06,206299.36
2016-07-07,204314.62
2016-07-08,204431.69
2016-07-09,195903.1
2016-07-10,189399.35
2016-07-11,205869.73
2016-07-12,209231.35
2016-07-13,206935.65
2016-07-14,202932.93
2016-07-15,207204.9
2016-07-16,188440.95
2016-07-17,188690.56
2016-07-18,208480.34
2016-07-19,210295.14
2016-07-20,205695.83000000002
2016-07-21,203939.49
2016-07-22,201332.27
2016-07-23,195117.21
2016-07-24,184735.71
2016-07-25,205126.93
2016-07-26,207103.14
2016-07-27,205993.14
2016-07-28,207244.1
2016-07-29,203304.48
2016-07-30,194381.85
2016-07-31,181744.84
2016-08-01,205717.47
2016-08-02,202413.86
2016-08-03,195921.77
2016-08-04,195923.99
2016-08-05,201921.22
2016-08-06,195744.52
2016-08-07,186076.75
2016-08-08,205305.54
2016-08-09,203828.06
2016-08-10,204439.15
2016-08-11,204926.98
2016-08-12,205562.0
2016-08-13,194227.16999999998
2016-08-14,182091.13
2016-08-15,184391.53
2016-08-16,197158.58
2016-08-17,197455.46
2016-08-18,199657.51
2016-08-19,205696.4
2016-08-20,195559.77
2016-08-21,183644.94
2016-08-22,202366.28
2016-08-23,207553.91
2016-08-24,206164.13
2016-08-25,205368.24
2016-08-26,206339.11
2016-08-27,198299.71
2016-08-28,184704.98
2016-08-29,202264.98
2016-08-30,202633.46
2016-08-31,203462.67
2016-09-01,202027.8
2016-09-02,203210.51
2016-09-03,192725.79
2016-09-04,178298.02
2016-09-05,200008.11000000002
2016-09-06,203881.83
2016-09-07,201403.95
2016-09-08,201674.58000000002
2016-09-09,200172.73
2016-09-10,190744.53
2016-09-11,181564.28
2016-09-12,201171.41999999998
2016-09-13,203602.11
2016-09-14,202910.03
2016-09-15,201207.73
2016-09-16,197245.26
2016-09-17,185996.34
2016-09-18,168759.21
2016-09-19,169676.57
2016-09-20,192344.71
2016-09-21,202304.9
2016-09-22,200385.18
2016-09-23,201824.11
2016-09-24,192014.95
2016-09-25,180282.94
2016-09-26,199981.19
2016-09-27,201513.81
2016-09-28,201231.33000000002
2016-09-29,199558.41999999998
2016-09-30,198454.5
2016-10-01,188901.42
2016-10-02,179813.25
2016-10-03,200639.39
2016-10-04,201143.78
2016-10-05,198098.06
2016-10-06,198743.2
2016-10-07,201649.37
2016-10-08,190177.72
2016-10-09,174932.92
2016-10-10,181421.39
2016-10-11,203770.94
2016-10-12,202612.04
2016-10-13,203926.07
2016-10-14,204199.37
2016-10-15,191228.09
2016-10-16,178744.65
2016-10-17,195477.28999999998
2016-10-18,194680.95
2016-10-19,194977.9
2016-10-20,194260.51
2016-10-21,192281.79
2016-10-22,181336.76
2016-10-23,169021.99
2016-10-24,190855.3
2016-10-25,194894.47
2016-10-26,198884.47
2016-10-27,203489.74
2016-10-28,200338.28
2016-10-29,189511.22
2016-10-30,178488.52
2016-10-31,180289.44
2016-11-01,178048.72
2016-11-02,200000.46
2016-11-03,204551.77
2016-11-04,209351.26
2016-11-05,197662.41
2016-11-06,183306.84
2016-11-07,207658.35
2016-11-08,207917.33
2016-11-09,202135.88
2016-11-10,207507.37
2016-11-11,208056.41999999998
2016-11-12,194832.52
2016-11-13,177350.92
2016-11-14,202066.2
2016-11-15,206975.49
2016-11-16,205962.51
2016-11-17,206036.21
2016-11-18,210016.28
2016-11-19,198873.43
2016-11-20,184150.71
2016-11-21,204254.39
2016-11-22,205016.4
2016-11-23,202050.93
2016-11-24,203996.61000000002
2016-11-25,207143.24
2016-11-26,193685.73
2016-11-27,178843.21
2016-11-28,201390.2
2016-11-29,206965.26
2016-11-30,204684.0
2016-12-01,202729.03
2016-12-02,208645.63
2016-12-03,198784.2
2016-12-04,184063.24
2016-12-05,205160.41
2016-12-06,206722.99
2016-12-07,199672.13
2016-12-08,191630.81
2016-12-09,200200.52
2016-12-10,192421.36
2016-12-11,183774.33000000002
2016-12-12,210428.38
2016-12-13,215292.44
