FECHA;ENERGIA (MWh);PICO NOCHE (MW); HORA PICO NOCHE; POTENCIA MINIMA (MW); HORA POTENCIA MINIMA; PICO MEDIODIA (MW); HORA PICO MEDIODIA;
01/01/2011;21697,4174;1153,0757;22:45:00;734,1403;07:45:00;876,2153;16:45:00;
02/01/2011;23022,0409;1241,384;22:45:00;764,7799;07:45:00;994,0375;13:45:00;
03/01/2011;26504,0946;1324,7226;22:45:00;894,0466;04:45:00;1212,4995;13:45:00;
04/01/2011;27249,5405;1349,6434;22:45:00;915,7162;04:45:00;1242,2157;15:45:00;
05/01/2011;27691,505;1321,445;22:45:00;939,2876;04:45:00;1282,2631;14:45:00;
06/01/2011;26343,7324;1359,0664;22:45:00;908,2585;07:45:00;1168,684;14:45:00;
07/01/2011;28360,3747;1376,5119;22:45:00;964,6351;04:45:00;1317,5639;14:45:00;
08/01/2011;26511,5303;1276,7988;22:45:00;955,5864;07:45:00;1142,497;14:45:00;
09/01/2011;24366,1552;1250,276;22:45:00;826,5126;07:45:00;1056,8621;13:45:00;
10/01/2011;27844,6564;1368,3787;22:45:00;921,7964;04:45:00;1304,3106;14:45:00;
11/01/2011;27894,1319;1329,8218;21:45:00;955,9763;04:45:00;1276,0585;13:45:00;
12/01/2011;27141,1196;1328,7806;22:45:00;912,8488;04:45:00;1246,7489;13:45:00;
13/01/2011;27302,4302;1362,0376;22:45:00;906,25;04:45:00;1262,1551;14:45:00;
14/01/2011;28364,6748;1354,7573;21:45:00;945,7018;04:45:00;1349,6292;14:45:00;
15/01/2011;26626,8321;1285,8767;21:45:00;938,5537;07:45:00;1181,4748;14:45:00;
16/01/2011;24448,3316;1172,124;22:45:00;837,6338;07:45:00;1095,8204;14:45:00;
17/01/2011;26277,0426;1310,6385;22:45:00;870,9004;04:45:00;1211,5293;14:45:00;
18/01/2011;27380,5811;1365,1275;22:45:00;898,1406;04:45:00;1286,6883;15:45:00;
19/01/2011;28080,1311;1330,9516;21:45:00;946,5069;04:45:00;1317,3263;13:45:00;
20/01/2011;26830,3888;1321,6245;22:45:00;897,6812;04:45:00;1221,6437;13:45:00;
21/01/2011;26987,9836;1343,173;21:45:00;894,4545;04:45:00;1246,0458;15:45:00;
22/01/2011;26086,5879;1303,4361;22:45:00;908,5236;07:45:00;1161,7965;13:45:00;
23/01/2011;24644,0526;1303,4301;22:45:00;819,6828;07:45:00;1070,0767;14:45:00;
24/01/2011;29378,2898;1432,0754;22:45:00;957,3733;04:45:00;1398,9542;14:45:00;
25/01/2011;30379,9307;1430,5411;21:45:00;1023,6422;04:45:00;1452,2733;14:45:00;
26/01/2011;30029,6524;1410,9477;22:45:00;1045,8201;04:45:00;1381,4382;13:45:00;
27/01/2011;29366,1379;1405,5333;22:45:00;1007,1255;04:45:00;1359,4209;14:45:00;
28/01/2011;29494,1876;1362,8721;21:45:00;999,8113;04:45:00;1401,524;15:45:00;
29/01/2011;26261,2245;1273,6988;21:45:00;933,6806;07:45:00;1159,3801;13:45:00;
30/01/2011;24390,8086;1298,202;22:45:00;803,3564;07:45:00;1072,5637;14:45:00;
31/01/2011;28685,6026;1342,0441;21:45:00;969,8724;04:45:00;1337,3681;13:45:00;
01/02/2011;26889,7553;1304,8368;21:45:00;925,1125;04:45:00;1214,9943;13:45:00;
02/02/2011;27013,3294;1356,2691;21:45:00;885,5585;04:45:00;1247,3204;16:45:00;
03/02/2011;28537,7694;1427,2845;21:45:00;924,086;04:45:00;1344,5571;16:45:00;
04/02/2011;29221,1336;1357,2057;21:45:00;1005,4854;04:45:00;1353,4206;14:45:00;
05/02/2011;26744,9431;1294,8879;21:45:00;942,5888;07:45:00;1213,4686;13:45:00;
06/02/2011;23120,1987;1220,4492;22:45:00;794,4944;07:45:00;962,7681;13:45:00;
07/02/2011;27533,3827;1359,5167;21:45:00;899,5441;03:45:00;1291,6572;14:45:00;
08/02/2011;26935,895;1315,44;21:45:00;905,7205;04:45:00;1222,3897;12:45:00;
09/02/2011;26586,1306;1334,0767;21:45:00;877,8225;04:45:00;1212,9768;12:45:00;
10/02/2011;26799,5713;1356,3432;21:45:00;869,4499;04:45:00;1220,7561;14:45:00;
11/02/2011;26750,1544;1338,5159;21:45:00;829,4046;04:45:00;1241,8003;13:45:00;
12/02/2011;24755,1898;1277,3707;21:45:00;821,0147;04:45:00;1109,6759;13:45:00;
13/02/2011;21890,5132;1237,1752;22:45:00;704,8601;07:45:00;909,7146;13:45:00;
14/02/2011;26638,1161;1352,2635;21:45:00;816,7006;04:45:00;1246,205;13:45:00;
15/02/2011;27262,7668;1381,3846;21:45:00;894;04:45:00;1257,7035;14:45:00;
16/02/2011;28167,9778;1415,002;21:45:00;921,9586;04:45:00;1301,4604;15:45:00;
17/02/2011;29914,3978;1446,3105;21:45:00;981,5302;04:45:00;1408,4149;15:45:00;
18/02/2011;29834,3606;1418,1926;21:45:00;961,7251;04:45:00;1407,2169;14:45:00;
19/02/2011;26760,0853;1306,3779;21:45:00;924,5155;04:45:00;1191,4583;13:45:00;
20/02/2011;22934,4378;1254,117;21:45:00;765,6857;07:45:00;949,4762;13:45:00;
21/02/2011;27614,9603;1391,1522;21:45:00;846,3446;04:45:00;1306,0705;15:45:00;
22/02/2011;28050,6643;1392,0033;21:45:00;871,5335;04:45:00;1311,5456;14:45:00;
23/02/2011;27784,1122;1340,2316;21:45:00;949,3612;04:45:00;1258,0351;12:45:00;
24/02/2011;26644,5958;1318,2623;21:45:00;889,0297;04:45:00;1208,9079;13:45:00;
25/02/2011;26230,5751;1307,7208;21:45:00;793,0684;04:45:00;1223,6694;12:45:00;
26/02/2011;24156,365;1263,9562;21:45:00;791,4223;04:45:00;1077,101;12:45:00;
27/02/2011;21248,1286;1226,2731;21:45:00;684,9657;07:45:00;884,1175;13:45:00;
28/02/2011;26293,8004;1351,8719;21:45:00;790,9442;04:45:00;1244,3824;13:45:00;
01/03/2011;26467,0798;1343,7714;21:45:00;816,3164;04:45:00;1215,0403;12:45:00;
02/03/2011;26635,5749;1354,3334;21:45:00;808,063;04:45:00;1227,8226;15:45:00;
03/03/2011;26960,953;1372,0036;21:45:00;832,1324;04:45:00;1244,7847;15:45:00;
04/03/2011;27137,6475;1342,128;21:45:00;837,5493;04:45:00;1256,812;12:45:00;
05/03/2011;25178,6632;1270,1054;21:45:00;902,6413;04:45:00;1092,3528;12:45:00;
06/03/2011;22568,9165;1208,2773;21:45:00;784,8481;08:45:00;950,8968;13:45:00;
07/03/2011;25181,342;1319,8381;21:45:00;847,0289;04:45:00;1125,5549;14:45:00;
08/03/2011;26101,7694;1333,3118;21:45:00;901,2627;04:45:00;1173,1869;14:45:00;
09/03/2011;27997,7365;1383,9248;21:45:00;919,3845;04:45:00;1310,205;15:45:00;
10/03/2011;27597,1225;1373,5961;21:45:00;860,1399;04:45:00;1290,8482;15:45:00;
11/03/2011;27521,4967;1370,3207;21:45:00;852,8117;04:45:00;1301,6785;15:45:00;
12/03/2011;25808,8069;1271,0942;20:45:00;854,6756;04:45:00;1168,0584;15:45:00;
13/03/2011;20246,0751;1136,9271;21:45:00;0;00:45:00;823,3066;13:45:00;
14/03/2011;23333,3193;1271,9491;21:45:00;682,5383;04:45:00;1090,7763;12:45:00;
15/03/2011;24531,2537;1335,6198;21:45:00;705,6923;04:45:00;1123,8717;12:45:00;
16/03/2011;25388,567;1341,7981;21:45:00;751,6008;04:45:00;1171,8553;12:45:00;
17/03/2011;25508,3232;1337,6225;21:45:00;761,9209;05:45:00;1189,9219;12:45:00;
18/03/2011;24993,247;1303,4318;21:45:00;743,853;04:45:00;1159,2042;12:45:00;
19/03/2011;23184,3639;1248,3837;21:45:00;743,1279;05:45:00;1032,7061;13:45:00;
20/03/2011;20262,3211;1196,7092;21:45:00;608,6411;08:45:00;842,2223;14:45:00;
21/03/2011;25489,4387;1382,2607;21:45:00;725,1049;04:45:00;1200,2457;15:45:00;
22/03/2011;27679,4147;1430,0012;21:45:00;855,434;04:45:00;1293,8606;13:45:00;
23/03/2011;26675,1247;1320,2322;21:45:00;817,0922;05:45:00;1244,5876;12:45:00;
24/03/2011;25215,179;1348,0131;21:45:00;741,4879;04:45:00;1161,5396;12:45:00;
25/03/2011;25204,7658;1306,8461;21:45:00;747,9583;05:45:00;1165,9182;12:45:00;
26/03/2011;23529,7679;1260,3351;21:45:00;733,4723;05:45:00;1063,4905;13:45:00;
27/03/2011;19853,9427;1143,2042;21:45:00;618,3736;08:45:00;815,2078;13:45:00;
28/03/2011;23738,0071;1310,3818;21:45:00;666,2596;04:45:00;1105,0435;12:45:00;
29/03/2011;24608,6874;1337,3821;21:45:00;714,625;05:45:00;1115,3802;12:45:00;
30/03/2011;25158,3426;1358,4189;21:45:00;725,5284;04:45:00;1149,9033;13:45:00;
31/03/2011;25939,7456;1382,4959;21:45:00;753,071;05:45:00;1192,9483;12:45:00;
01/04/2011;26423,0001;1373,5512;20:45:00;776,8931;05:45:00;1235,2453;12:45:00;
02/04/2011;24277,8461;1289,0233;20:45:00;778,211;05:45:00;1076,1108;13:45:00;
03/04/2011;20979,0337;1197,704;21:45:00;647,6033;08:45:00;897,6877;15:45:00;
04/04/2011;24492,1178;1325,8664;21:45:00;699,1469;04:45:00;1141,2369;12:45:00;
05/04/2011;24940,1081;1338,0281;20:45:00;726,0075;04:45:00;1134,7927;12:45:00;
06/04/2011;24675,0946;1321,3449;21:45:00;725,3273;04:45:00;1131,6338;12:45:00;
07/04/2011;25034,5688;1352,9562;20:45:00;725,6447;05:45:00;1139,3659;13:45:00;
08/04/2011;25089,8487;1320,2658;20:45:00;739,6543;04:45:00;1163,6467;12:45:00;
09/04/2011;23317,4218;1273,6219;20:45:00;733,5086;05:45:00;1032,8129;13:45:00;
10/04/2011;20660,0923;1185,4607;21:45:00;666,0693;06:45:00;903,565;13:45:00;
11/04/2011;25018,7352;1359,5264;20:45:00;703,893;04:45:00;1164,1786;13:45:00;
12/04/2011;25772,9633;1372,651;20:45:00;750,9499;05:45:00;1188,1703;13:45:00;
13/04/2011;25937,2786;1384,7854;20:45:00;747,3626;04:45:00;1186,3788;13:45:00;
14/04/2011;25144,0532;1329,4317;20:45:00;743,7545;04:45:00;1145,2507;12:45:00;
