datetime,PC1_coefficient,PC2_coefficient,PC1_PC2_amplitude,fase
1979-01-01,0.3335,0.89617,0.95622,4
1979-01-02,0.22556,1.01589,1.04062,4
1979-01-03,0.08021,1.11904,1.12191,4
1979-01-04,-0.09828,1.1961,1.20013,5
1979-01-05,-0.30273,1.23853,1.27499,5
1979-01-06,-0.52329,1.23947,1.34541,5
1979-01-07,-0.74815,1.19433,1.40931,5
1979-01-08,-0.96427,1.10118,1.4637,5
1979-01-09,-1.15835,0.96101,1.5051,6
1979-01-10,-1.3178,0.77774,1.53019,6
1979-01-11,-1.43175,0.55802,1.53665,6
1979-01-12,-1.49193,0.31082,1.52397,6
1979-01-13,-1.49333,0.04692,1.49407,6
1979-01-14,-1.43468,-0.22186,1.45173,8
1979-01-15,-1.31863,-0.4834,1.40444,8
1979-01-16,-1.1516,-0.72608,1.36138,8
1979-01-17,-0.94335,-0.93951,1.33139,8
1979-01-18,-0.70627,-1.11525,1.32008,8
1979-01-19,-0.45448,-1.24728,1.3275,8
1979-01-20,-0.20275,-1.33232,1.34766,8
1979-01-21,0.03461,-1.36999,1.37043,1
1979-01-22,0.24482,-1.36274,1.38456,1
1979-01-23,0.41754,-1.31555,1.38022,1
1979-01-24,0.5457,-1.23549,1.35063,1
1979-01-25,0.62585,-1.13115,1.29274,1
1979-01-26,0.65844,-1.01199,1.20734,1
1979-01-27,0.64758,-0.88762,1.09874,1
1979-01-28,0.6006,-0.76716,0.97429,1
1979-01-29,0.52736,-0.65859,0.84371,1
1979-01-30,0.43927,-0.56831,0.71829,1
1979-01-31,0.34831,-0.50076,0.60998,1
1979-02-01,0.26592,-0.45825,0.52982,1
1979-02-02,0.20203,-0.44094,0.48502,1
1979-02-03,0.16422,-0.44698,0.47619,1
1979-02-04,0.15712,-0.4728,0.49823,1
1979-02-05,0.18207,-0.51348,0.5448,1
1979-02-06,0.23709,-0.56319,0.61106,1
1979-02-07,0.31719,-0.61572,0.69262,1
1979-02-08,0.41488,-0.66489,0.78372,1
1979-02-09,0.52101,-0.705,0.87663,1
1979-02-10,0.6256,-0.73116,0.96227,1
1979-02-11,0.71889,-0.73952,1.03135,1
1979-02-12,0.79225,-0.72741,1.07554,2
1979-02-13,0.83899,-0.69335,1.08842,2
1979-02-14,0.85499,-0.63701,1.0662,2
1979-02-15,0.83904,-0.559,1.0082,2
1979-02-16,0.7929,-0.4607,0.91703,2
1979-02-17,0.72109,-0.34407,0.79897,2
1979-02-18,0.63037,-0.21133,0.66486,2
1979-02-19,0.52901,-0.06487,0.53297,2
1979-02-20,0.42588,0.09295,0.43591,4
1979-02-21,0.32957,0.25989,0.41971,4
1979-02-22,0.24737,0.43377,0.49935,4
1979-02-23,0.18455,0.6125,0.6397,4
1979-02-24,0.14373,0.79393,0.80683,4
1979-02-25,0.12449,0.9757,0.98361,4
1979-02-26,0.12342,1.15514,1.16171,4
1979-02-27,0.13432,1.32909,1.33586,4
1979-02-28,0.14883,1.49384,1.50124,4
1979-03-01,0.15719,1.6451,1.65259,4
1979-03-02,0.14929,1.778,1.78426,4
1979-03-03,0.11567,1.8873,1.89084,4
1979-03-04,0.04867,1.9675,1.9681,4
1979-03-05,-0.05671,2.01322,2.01402,5
1979-03-06,-0.20203,2.01948,2.02956,5
1979-03-07,-0.38501,1.9821,2.01915,5
1979-03-08,-0.59935,1.89805,1.99044,5
1979-03-09,-0.83505,1.76583,1.95332,5
1979-03-10,-1.07896,1.5857,1.91797,5
1979-03-11,-1.31569,1.35994,1.89222,5
1979-03-12,-1.52877,1.0929,1.87925,6
1979-03-13,-1.7019,0.79097,1.87672,6
1979-03-14,-1.82026,0.46243,1.87808,6
1979-03-15,-1.8718,0.11716,1.87546,6
1979-03-16,-1.84824,-0.23379,1.86297,8
1979-03-17,-1.7459,-0.57862,1.83929,8
1979-03-18,-1.56612,-0.90541,1.809,8
1979-03-19,-1.31531,-1.20262,1.78223,8
1979-03-20,-1.00462,-1.45971,1.77201,8
1979-03-21,-0.64922,-1.66763,1.78955,8
1979-03-22,-0.26726,-1.81931,1.83883,8
1979-03-23,0.12137,-1.90995,1.9138,1
1979-03-24,0.49644,-1.93732,1.99992,1
1979-03-25,0.83879,-1.90181,2.07857,1
1979-03-26,1.13162,-1.80642,2.1316,1
1979-03-27,1.36163,-1.65657,2.14436,1
1979-03-28,1.51982,-1.45986,2.10738,2
1979-03-29,1.60196,-1.22564,2.01705,2
1979-03-30,1.6087,-0.9646,1.87573,2
1979-03-31,1.54526,-0.68826,1.69161,2
1979-04-01,1.42084,-0.40843,1.47838,2
1979-04-02,1.24769,-0.13671,1.25515,2
1979-04-03,1.04001,0.11599,1.04646,4
1979-04-04,0.81279,0.33993,0.88101,4
1979-04-05,0.5806,0.52682,0.78399,4
1979-04-06,0.35657,0.67022,0.75917,4
1979-04-07,0.15147,0.76566,0.7805,4
1979-04-08,-0.02682,0.81082,0.81126,5
1979-04-09,-0.17364,0.80553,0.82403,5
1979-04-10,-0.2875,0.75174,0.80484,5
1979-04-11,-0.36974,0.65339,0.75075,5
1979-04-12,-0.42396,0.51622,0.668,5
1979-04-13,-0.45527,0.34751,0.57274,6
1979-04-14,-0.4694,0.1558,0.49458,6
1979-04-15,-0.47191,-0.04948,0.47449,8
1979-04-16,-0.46737,-0.25837,0.53403,8
1979-04-17,-0.45882,-0.46075,0.65024,8
1979-04-18,-0.44738,-0.64679,0.78644,8
1979-04-19,-0.43216,-0.80729,0.91569,8
1979-04-20,-0.41045,-0.93412,1.02032,8
1979-04-21,-0.37818,-1.0205,1.08832,8
1979-04-22,-0.3305,-1.06135,1.11162,8
1979-04-23,-0.26263,-1.05349,1.08574,8
1979-04-24,-0.17065,-0.99586,1.01038,8
1979-04-25,-0.0523,-0.88955,0.89108,8
1979-04-26,0.09237,-0.7378,0.74356,1
1979-04-27,0.26054,-0.5459,0.60489,1
1979-04-28,0.44641,-0.32101,0.54985,2
1979-04-29,0.64137,-0.0718,0.64538,2
1979-04-30,0.83437,0.19188,0.85615,4
1979-05-01,1.01265,0.45946,1.11201,4
1979-05-02,1.16265,0.72014,1.36761,4
1979-05-03,1.2711,0.96339,1.59493,4
1979-05-04,1.32615,1.17944,1.77476,4
1979-05-05,1.31849,1.35976,1.89404,4
1979-05-06,1.24224,1.49743,1.94562,4
1979-05-07,1.09567,1.58745,1.92886,4
1979-05-08,0.88164,1.62698,1.85051,4
1979-05-09,0.60758,1.61541,1.72589,4
1979-05-10,0.28521,1.55429,1.58024,4
1979-05-11,-0.07021,1.44726,1.44896,5
1979-05-12,-0.44076,1.29971,1.37241,5
1979-05-13,-0.80719,1.11849,1.37934,5
1979-05-14,-1.15018,0.9115,1.46756,6
1979-05-15,-1.45174,0.68721,1.60618,6
1979-05-16,-1.69649,0.45424,1.75625,6
1979-05-17,-1.8727,0.22091,1.88568,6
1979-05-18,-1.9731,-0.00512,1.97311,8
1979-05-19,-1.99533,-0.21719,2.00711,8
1979-05-20,-1.94193,-0.40985,1.98471,8
1979-05-21,-1.82007,-0.57898,1.90994,8
1979-05-22,-1.6408,-0.72187,1.79257,8
1979-05-23,-1.41806,-0.83708,1.6467,8
1979-05-24,-1.16754,-0.92442,1.48919,8
1979-05-25,-0.90529,-0.98464,1.33756,8
1979-05-26,-0.64652,-1.01931,1.20706,8
1979-05-27,-0.4044,-1.03053,1.10704,8
1979-05-28,-0.18908,-1.0207,1.03807,8
1979-05-29,-0.00714,-0.99232,0.99235,8
1979-05-30,0.1388,-0.94785,0.95796,1
1979-05-31,0.24994,-0.88959,0.92403,1
1979-06-01,0.33093,-0.81962,0.88391,1
1979-06-02,0.38907,-0.73985,0.83591,1
1979-06-03,0.4334,-0.65199,0.78289,1
1979-06-04,0.47359,-0.55768,0.73164,1
1979-06-05,0.51876,-0.4586,0.6924,2
1979-06-06,0.57648,-0.35647,0.67779,2
1979-06-07,0.65185,-0.25321,0.6993,2
1979-06-08,0.74687,-0.15091,0.76197,2
1979-06-09,0.86016,-0.05186,0.86173,2
1979-06-10,0.98696,0.04156,0.98784,4
1979-06-11,1.11953,0.12691,1.1267,4
1979-06-12,1.24782,0.2019,1.26405,4
