0,1,2,3
N,Norte,01/01/2000,224.351.250.000
N,Norte,02/01/2000,225.980.833.333
N,Norte,03/01/2000,240.742.916.667
N,Norte,04/01/2000,240.421.666.667
N,Norte,05/01/2000,243.965.000.000
N,Norte,06/01/2000,242.668.333.333
N,Norte,07/01/2000,243.090.833.333
N,Norte,08/01/2000,228.635.000.000
N,Norte,09/01/2000,224.266.666.667
N,Norte,10/01/2000,241.759.583.333
N,Norte,11/01/2000,241.676.666.667
N,Norte,12/01/2000,241.835.833.333
N,Norte,13/01/2000,242.852.083.333
N,Norte,14/01/2000,244.020.416.667
N,Norte,15/01/2000,235.290.833.333
N,Norte,16/01/2000,226.383.750.000
N,Norte,17/01/2000,243.397.500.000
N,Norte,18/01/2000,247.986.666.667
N,Norte,19/01/2000,243.923.750.000
N,Norte,20/01/2000,249.457.916.667
N,Norte,21/01/2000,245.977.083.333
N,Norte,22/01/2000,239.310.833.333
N,Norte,23/01/2000,226.409.166.667
N,Norte,24/01/2000,243.480.000.000
N,Norte,25/01/2000,244.810.416.667
N,Norte,26/01/2000,246.306.666.667
N,Norte,27/01/2000,248.458.333.333
N,Norte,28/01/2000,249.306.666.667
N,Norte,29/01/2000,240.226.250.000
N,Norte,30/01/2000,228.310.416.667
N,Norte,31/01/2000,247.393.333.333
N,Norte,01/02/2000,246.640.000.000
N,Norte,02/02/2000,247.401.250.000
N,Norte,03/02/2000,248.907.916.667
N,Norte,04/02/2000,249.517.500.000
N,Norte,05/02/2000,239.647.500.000
N,Norte,06/02/2000,229.723.333.333
N,Norte,07/02/2000,243.035.416.667
N,Norte,08/02/2000,243.921.250.000
N,Norte,09/02/2000,243.778.333.333
N,Norte,10/02/2000,240.667.916.667
N,Norte,11/02/2000,243.390.000.000
N,Norte,12/02/2000,232.217.083.333
N,Norte,13/02/2000,223.753.750.000
N,Norte,14/02/2000,239.182.916.667
N,Norte,15/02/2000,238.836.250.000
N,Norte,16/02/2000,242.345.000.000
N,Norte,17/02/2000,244.490.000.000
N,Norte,18/02/2000,241.495.833.333
N,Norte,19/02/2000,237.837.500.000
N,Norte,20/02/2000,227.471.250.000
N,Norte,21/02/2000,247.503.750.000
N,Norte,22/02/2000,242.255.833.333
N,Norte,23/02/2000,243.978.750.000
N,Norte,24/02/2000,244.515.833.333
N,Norte,25/02/2000,246.729.166.667
N,Norte,26/02/2000,236.476.666.667
N,Norte,27/02/2000,228.135.833.333
N,Norte,28/02/2000,245.734.583.333
N,Norte,29/02/2000,246.612.500.000
N,Norte,01/03/2000,247.254.583.333
N,Norte,02/03/2000,245.192.916.667
N,Norte,03/03/2000,237.315.833.333
N,Norte,04/03/2000,234.999.166.667
N,Norte,05/03/2000,231.258.333.333
N,Norte,06/03/2000,232.870.833.333
N,Norte,07/03/2000,228.657.916.667
N,Norte,08/03/2000,238.508.333.333
N,Norte,09/03/2000,244.003.333.333
N,Norte,10/03/2000,244.686.666.667
N,Norte,11/03/2000,235.284.583.333
N,Norte,12/03/2000,229.745.416.667
N,Norte,13/03/2000,245.168.333.333
N,Norte,14/03/2000,248.607.500.000
N,Norte,15/03/2000,248.282.083.333
N,Norte,16/03/2000,246.513.333.333
N,Norte,17/03/2000,245.728.750.000
N,Norte,18/03/2000,235.325.000.000
N,Norte,19/03/2000,223.245.416.667
N,Norte,20/03/2000,242.696.250.000
N,Norte,21/03/2000,245.273.333.333
N,Norte,22/03/2000,245.848.750.000
N,Norte,23/03/2000,245.017.083.333
N,Norte,24/03/2000,246.714.583.333
N,Norte,25/03/2000,241.956.666.667
N,Norte,26/03/2000,232.124.583.333
N,Norte,27/03/2000,246.495.000.000
N,Norte,28/03/2000,244.437.083.333
N,Norte,29/03/2000,243.680.000.000
N,Norte,30/03/2000,244.517.500.000
N,Norte,31/03/2000,243.306.666.667
N,Norte,01/04/2000,236.914.166.667
N,Norte,02/04/2000,230.573.750.000
N,Norte,03/04/2000,243.467.083.333
N,Norte,04/04/2000,244.397.916.667
N,Norte,05/04/2000,246.503.750.000
N,Norte,06/04/2000,245.661.666.667
N,Norte,07/04/2000,244.378.333.333
N,Norte,08/04/2000,239.660.833.333
N,Norte,09/04/2000,229.473.333.333
N,Norte,10/04/2000,245.193.750.000
N,Norte,11/04/2000,246.089.166.667
N,Norte,12/04/2000,245.905.416.667
N,Norte,13/04/2000,247.162.083.333
N,Norte,14/04/2000,248.454.583.333
N,Norte,15/04/2000,238.949.166.667
N,Norte,16/04/2000,233.210.416.667
N,Norte,17/04/2000,247.269.166.667
N,Norte,18/04/2000,243.686.250.000
N,Norte,19/04/2000,247.136.250.000
N,Norte,20/04/2000,244.271.250.000
N,Norte,21/04/2000,228.851.250.000
N,Norte,22/04/2000,235.271.250.000
N,Norte,23/04/2000,230.730.000.000
N,Norte,24/04/2000,249.106.250.000
N,Norte,25/04/2000,246.272.083.333
N,Norte,26/04/2000,245.846.666.667
N,Norte,27/04/2000,248.906.250.000
N,Norte,28/04/2000,248.417.083.333
N,Norte,29/04/2000,238.943.750.000
N,Norte,30/04/2000,232.007.500.000
N,Norte,01/05/2000,231.560.000.000
N,Norte,02/05/2000,249.752.500.000
N,Norte,03/05/2000,249.820.416.667
N,Norte,04/05/2000,250.654.583.333
N,Norte,05/05/2000,251.787.916.667
N,Norte,06/05/2000,242.643.750.000
N,Norte,07/05/2000,235.415.000.000
N,Norte,08/05/2000,249.494.583.333
N,Norte,09/05/2000,246.708.333.333
N,Norte,10/05/2000,250.849.166.667
N,Norte,11/05/2000,252.205.416.667
N,Norte,12/05/2000,255.361.666.667
N,Norte,13/05/2000,249.158.750.000
N,Norte,14/05/2000,237.976.250.000
N,Norte,15/05/2000,243.606.250.000
N,Norte,16/05/2000,245.892.083.333
N,Norte,17/05/2000,244.330.833.333
N,Norte,18/05/2000,245.771.666.667
N,Norte,19/05/2000,245.627.083.333
N,Norte,20/05/2000,238.358.333.333
N,Norte,21/05/2000,232.401.666.667
N,Norte,22/05/2000,249.517.916.667
N,Norte,23/05/2000,250.526.666.667
N,Norte,24/05/2000,247.976.250.000
N,Norte,25/05/2000,250.349.583.333
N,Norte,26/05/2000,251.242.916.667
N,Norte,27/05/2000,244.545.000.000
N,Norte,28/05/2000,235.546.250.000
N,Norte,29/05/2000,249.115.416.667
N,Norte,30/05/2000,251.610.833.333
N,Norte,31/05/2000,251.772.500.000
N,Norte,01/06/2000,250.210.416.667
N,Norte,02/06/2000,250.181.250.000
N,Norte,03/06/2000,245.276.250.000
N,Norte,04/06/2000,236.966.250.000
N,Norte,05/06/2000,250.360.000.000
N,Norte,06/06/2000,254.208.333.333
N,Norte,07/06/2000,252.805.416.667
N,Norte,08/06/2000,254.957.916.667
N,Norte,09/06/2000,256.994.166.667
N,Norte,10/06/2000,243.185.833.333
N,Norte,11/06/2000,236.352.083.333
N,Norte,12/06/2000,251.832.083.333
N,Norte,13/06/2000,252.813.750.000
N,Norte,14/06/2000,252.015.000.000
N,Norte,15/06/2000,253.189.583.333
N,Norte,16/06/2000,255.502.083.333
N,Norte,17/06/2000,243.908.750.000
N,Norte,18/06/2000,236.435.416.667
N,Norte,19/06/2000,253.705.000.000
N,Norte,20/06/2000,251.182.916.667
N,Norte,21/06/2000,249.724.166.667
N,Norte,22/06/2000,237.770.416.667
N,Norte,23/06/2000,252.293.333.333
N,Norte,24/06/2000,242.582.916.667
N,Norte,25/06/2000,231.408.750.000
N,Norte,26/06/2000,252.477.083.333
N,Norte,27/06/2000,254.235.416.667
N,Norte,28/06/2000,254.139.166.667
N,Norte,29/06/2000,251.767.500.000
N,Norte,30/06/2000,253.314.583.333
N,Norte,01/07/2000,237.887.500.000
N,Norte,02/07/2000,228.189.166.667
N,Norte,03/07/2000,250.698.750.000
N,Norte,04/07/2000,252.929.166.667
N,Norte,05/07/2000,250.461.666.667
N,Norte,06/07/2000,250.210.000.000
N,Norte,07/07/2000,249.717.916.667
N,Norte,08/07/2000,242.110.000.000
N,Norte,09/07/2000,232.617.083.333
N,Norte,10/07/2000,247.694.166.667
N,Norte,11/07/2000,247.091.250.000
N,Norte,12/07/2000,248.212.500.000
N,Norte,13/07/2000,250.433.333.333
N,Norte,14/07/2000,247.596.250.000
N,Norte,15/07/2000,237.928.750.000
N,Norte,16/07/2000,225.455.833.333
N,Norte,17/07/2000,246.207.916.667
N,Norte,18/07/2000,249.043.333.333
N,Norte,19/07/2000,244.494.583.333
N,Norte,20/07/2000,245.986.666.667
N,Norte,21/07/2000,245.345.000.000
N,Norte,22/07/2000,237.672.500.000
N,Norte,23/07/2000,231.405.416.667
N,Norte,24/07/2000,247.379.583.333
N,Norte,25/07/2000,249.060.833.333
N,Norte,26/07/2000,251.374.166.667
N,Norte,27/07/2000,247.458.750.000
N,Norte,28/07/2000,246.456.250.000
N,Norte,29/07/2000,240.121.250.000
N,Norte,30/07/2000,233.600.833.333
N,Norte,31/07/2000,254.350.000.000
N,Norte,01/08/2000,257.341.666.667
N,Norte,02/08/2000,255.851.250.000
N,Norte,03/08/2000,257.610.833.333
N,Norte,04/08/2000,257.613.333.333
N,Norte,05/08/2000,248.345.000.000
N,Norte,06/08/2000,240.731.250.000
N,Norte,07/08/2000,255.262.083.333
N,Norte,08/08/2000,256.589.166.667
N,Norte,09/08/2000,257.564.583.333
N,Norte,10/08/2000,258.371.250.000
N,Norte,11/08/2000,257.675.000.000
N,Norte,12/08/2000,250.485.833.333
N,Norte,13/08/2000,239.215.000.000
N,Norte,14/08/2000,256.272.083.333
N,Norte,15/08/2000,251.790.000.000
N,Norte,16/08/2000,259.881.250.000
N,Norte,17/08/2000,260.299.583.333
N,Norte,18/08/2000,260.211.666.667
N,Norte,19/08/2000,253.062.500.000
N,Norte,20/08/2000,241.707.083.333
N,Norte,21/08/2000,260.308.750.000
N,Norte,22/08/2000,262.821.250.000
N,Norte,23/08/2000,264.032.916.667
N,Norte,24/08/2000,265.989.166.667
N,Norte,25/08/2000,263.416.250.000
N,Norte,26/08/2000,254.407.916.667
N,Norte,27/08/2000,243.749.166.667
N,Norte,28/08/2000,260.749.166.667
N,Norte,29/08/2000,266.580.833.333
N,Norte,30/08/2000,266.349.583.333
N,Norte,31/08/2000,265.567.083.333
N,Norte,01/09/2000,262.190.416.667
N,Norte,02/09/2000,251.542.916.667
N,Norte,03/09/2000,245.043.291.667
N,Norte,04/09/2000,267.096.250.000
N,Norte,05/09/2000,266.320.000.000
N,Norte,06/09/2000,263.717.166.667
N,Norte,07/09/2000,247.584.583.333
N,Norte,08/09/2000,255.915.000.000
N,Norte,09/09/2000,248.763.750.000
N,Norte,10/09/2000,241.793.750.000
N,Norte,11/09/2000,262.596.250.000
N,Norte,12/09/2000,262.664.583.333
N,Norte,13/09/2000,264.310.416.667
N,Norte,14/09/2000,263.687.916.667
N,Norte,15/09/2000,262.997.500.000
N,Norte,16/09/2000,252.702.916.667
N,Norte,17/09/2000,243.365.833.333
N,Norte,18/09/2000,262.354.166.667
N,Norte,19/09/2000,265.231.208.333
N,Norte,20/09/2000,258.948.250.000
N,Norte,21/09/2000,264.563.291.667
N,Norte,22/09/2000,266.013.458.333
N,Norte,23/09/2000,255.626.250.000
N,Norte,24/09/2000,248.133.750.000
N,Norte,25/09/2000,265.812.333.333
N,Norte,26/09/2000,265.983.916.667
N,Norte,27/09/2000,264.652.666.667
N,Norte,28/09/2000,263.191.833.333
N,Norte,29/09/2000,262.900.750.000
N,Norte,30/09/2000,254.036.666.667
N,Norte,01/10/2000,241.587.083.333
N,Norte,02/10/2000,259.125.000.000
N,Norte,03/10/2000,262.704.583.333
N,Norte,04/10/2000,263.056.666.667
N,Norte,05/10/2000,258.616.250.000
N,Norte,06/10/2000,260.888.333.333
N,Norte,07/10/2000,252.656.125.000
N,Norte,08/10/2000,238.327.391.304
N,Norte,09/10/2000,257.127.500.000
N,Norte,10/10/2000,259.142.041.667
N,Norte,11/10/2000,260.220.708.333
N,Norte,12/10/2000,247.480.000.000
N,Norte,13/10/2000,255.019.583.333
N,Norte,14/10/2000,252.342.875.000
N,Norte,15/10/2000,244.207.750.000
N,Norte,16/10/2000,259.577.083.333
N,Norte,17/10/2000,263.630.833.333
N,Norte,18/10/2000,264.663.333.333
N,Norte,19/10/2000,264.625.416.667
N,Norte,20/10/2000,264.643.750.000
N,Norte,21/10/2000,253.470.000.000
N,Norte,22/10/2000,242.142.916.667
N,Norte,23/10/2000,256.382.083.333
N,Norte,24/10/2000,262.950.000.000
N,Norte,25/10/2000,263.547.083.333
N,Norte,26/10/2000,263.637.083.333
N,Norte,27/10/2000,263.791.250.000
N,Norte,28/10/2000,251.686.250.000
N,Norte,29/10/2000,243.153.750.000
N,Norte,30/10/2000,262.720.833.333
N,Norte,31/10/2000,259.375.958.333
N,Norte,01/11/2000,261.115.416.667
N,Norte,02/11/2000,245.837.500.000
N,Norte,03/11/2000,256.881.000.000
N,Norte,04/11/2000,252.741.250.000
N,Norte,05/11/2000,242.420.041.667
N,Norte,06/11/2000,256.283.750.000
N,Norte,07/11/2000,263.495.416.667
N,Norte,08/11/2000,262.853.750.000
N,Norte,09/11/2000,257.377.916.667
N,Norte,10/11/2000,260.467.083.333
N,Norte,11/11/2000,252.632.500.000
N,Norte,12/11/2000,241.802.916.667
N,Norte,13/11/2000,258.911.250.000
