,temp,dem9
2000-01-01,  23.8, 382.5
2000-01-02,  23.6, 349.6
2000-01-03,  23.4, 391.7
2000-01-04,  24.4, 420.7
2000-01-05,  25.5, 451.8
2000-01-06,  25.5, 453.4
2000-01-07,  26.2, 465.8
2000-01-08,  25.8, 425.4
2000-01-09,  25.1, 381.9
2000-01-10,  24.6, 417.5
2000-01-11,  25.2, 437.9
2000-01-12,  26.6, 475.4
2000-01-13,  26.2, 468.5
2000-01-14,  25.5, 450.8
2000-01-15,  25.0, 408.3
2000-01-16,  26.2, 405.5
2000-01-17,  24.0, 404.6
2000-01-18,  24.2, 416.4
2000-01-19,  27.2, 488.3
2000-01-20,  29.3, 535.1
2000-01-21,  25.2, 444.4
2000-01-22,  21.1, 343.8
2000-01-23,  23.0, 336.7
2000-01-24,  23.6, 396.0
2000-01-25,  22.7, 384.2
2000-01-26,  23.0, 398.1
2000-01-27,  24.3, 427.7
2000-01-28,  26.1, 463.7
2000-01-29,  27.1, 453.4
2000-01-30,  27.4, 431.3
2000-01-31,  25.7, 441.1
2000-02-01,  25.1, 435.8
2000-02-02,  24.0, 419.6
2000-02-03,  23.0, 399.7
2000-02-04,  24.1, 420.7
2000-02-05,  26.5, 440.5
2000-02-06,  26.4, 409.8
2000-02-07,  26.2, 451.9
2000-02-08,  25.6, 446.5
2000-02-09,  26.0, 462.5
2000-02-10,  26.6, 477.1
2000-02-11,  25.7, 455.1
2000-02-12,  23.8, 382.5
2000-02-13,  20.3, 315.3
2000-02-14,  20.4, 361.7
2000-02-15,  20.1, 369.2
2000-02-16,  20.9, 376.6
2000-02-17,  22.0, 378.3
2000-02-18,  23.3, 403.5
2000-02-19,  24.1, 388.9
2000-02-20,  23.9, 356.1
2000-02-21,  23.7, 398.2
2000-02-22,  24.3, 418.6
2000-02-23,  25.5, 451.8
2000-02-24,  26.8, 481.4
2000-02-25,  26.1, 463.7
2000-02-26,  25.3, 414.7
2000-02-27,  22.7, 330.3
2000-02-28,  19.1, 361.7
2000-02-29,  19.9, 369.2
2000-03-01,  21.4, 376.6
2000-03-02,  21.8, 378.3
2000-03-03,  22.3, 382.1
2000-03-04,  23.3, 371.8
2000-03-05,  23.0, 336.7
2000-03-06,  22.5, 372.4
2000-03-07,  21.0, 369.2
2000-03-08,  21.1, 376.6
2000-03-09,  21.6, 378.3
2000-03-10,  22.0, 375.6
2000-03-11,  22.4, 352.4
2000-03-12,  21.9, 315.3
2000-03-13,  22.7, 376.7
2000-03-14,  23.8, 407.8
2000-03-15,  25.0, 441.1
2000-03-16,  23.2, 404.0
2000-03-17,  20.1, 375.6
2000-03-18,  20.5, 343.8
2000-03-19,  21.8, 315.3
2000-03-20,  21.9, 361.7
2000-03-21,  20.2, 369.2
2000-03-22,  20.0, 376.6
2000-03-23,  20.4, 378.3
2000-03-24,  18.5, 375.6
2000-03-25,  18.3, 343.8
2000-03-26,  18.9, 315.3
2000-03-27,  16.6, 361.7
2000-03-28,  13.0, 389.2
2000-03-29,  14.3, 386.2
2000-03-30,  16.6, 378.3
2000-03-31,  18.1, 375.6
2000-04-01,  16.7, 343.8
2000-04-02,  16.2, 315.3
2000-04-03,  17.7, 361.7
2000-04-04,  18.0, 369.2
2000-04-05,  18.7, 376.6
2000-04-06,  19.0, 378.3
2000-04-07,  19.1, 375.6
2000-04-08,  17.9, 343.8
2000-04-09,  21.6, 315.3
2000-04-10,  19.7, 361.7
2000-04-11,  14.6, 376.4
2000-04-12,  14.9, 381.4
2000-04-13,  16.6, 378.3
2000-04-14,  17.0, 375.6
2000-04-15,  16.7, 343.8
2000-04-16,  17.4, 315.3
2000-04-17,  16.7, 361.7
2000-04-18,  15.3, 370.8
2000-04-19,  15.2, 379.0
2000-04-20,  14.8, 383.9
2000-04-21,  15.2, 378.0
2000-04-22,  16.8, 343.8
2000-04-23,  19.2, 315.3
2000-04-24,  19.3, 361.7
2000-04-25,  19.8, 369.2
2000-04-26,  18.8, 376.6
2000-04-27,  17.9, 378.3
2000-04-28,  18.5, 375.6
2000-04-29,  18.4, 343.8
2000-04-30,  18.6, 315.3
2000-05-01,  17.3, 361.7
2000-05-02,  13.9, 382.0
2000-05-03,  12.2, 403.1
2000-05-04,  10.5, 418.4
2000-05-05,   9.4, 424.5
2000-05-06,  10.9, 380.7
2000-05-07,  11.8, 344.9
2000-05-08,  11.2, 396.1
2000-05-09,  13.8, 382.8
2000-05-10,  12.2, 403.1
2000-05-11,  13.2, 396.7
2000-05-12,  14.2, 386.0
2000-05-13,  14.7, 350.2
2000-05-14,  15.7, 315.3
2000-05-15,  15.2, 364.1
2000-05-16,  14.5, 377.2
2000-05-17,  14.1, 387.9
2000-05-18,  12.8, 399.9
2000-05-19,  13.0, 395.7
2000-05-20,  12.9, 364.7
2000-05-21,  13.8, 328.9
2000-05-22,  14.8, 367.3
2000-05-23,  14.9, 374.0
2000-05-24,  16.0, 376.6
2000-05-25,  16.2, 378.3
2000-05-26,  13.4, 392.5
2000-05-27,  11.7, 374.3
2000-05-28,  12.4, 340.1
2000-05-29,  13.4, 378.5
2000-05-30,  12.2, 395.6
2000-05-31,  10.0, 420.7
2000-06-01,   7.5, 442.4
2000-06-02,  10.7, 414.1
2000-06-03,  12.9, 364.7
2000-06-04,  15.8, 315.3
2000-06-05,  17.0, 361.7
2000-06-06,  14.0, 381.2
2000-06-07,  13.9, 389.5
2000-06-08,  14.2, 388.7
2000-06-09,  14.3, 385.2
2000-06-10,  14.3, 353.4
2000-06-11,  13.0, 335.3
2000-06-12,  14.8, 367.3
2000-06-13,  18.3, 369.2
2000-06-14,  20.1, 376.6
2000-06-15,  12.5, 402.3
2000-06-16,   8.4, 432.5
2000-06-17,   6.7, 414.4
2000-06-18,   8.3, 373.0
2000-06-19,   8.2, 420.2
2000-06-20,   8.5, 425.3
2000-06-21,   8.4, 433.6
2000-06-22,  10.3, 420.0
2000-06-23,  12.7, 398.1
2000-06-24,  13.7, 358.3
2000-06-25,  11.6, 346.5
2000-06-26,  10.2, 404.2
2000-06-27,  11.5, 401.2
2000-06-28,  13.4, 393.5
2000-06-29,   9.6, 425.6
2000-06-30,  10.2, 418.1
2000-07-01,  12.1, 371.1
2000-07-02,  10.9, 352.1
2000-07-03,   9.9, 406.6
2000-07-04,  11.6, 400.4
2000-07-05,  11.8, 406.3
2000-07-06,  16.8, 378.3
2000-07-07,  12.0, 403.7
2000-07-08,   7.5, 408.0
2000-07-09,   6.5, 387.4
2000-07-10,   5.9, 438.6
2000-07-11,   4.2, 459.8
2000-07-12,   4.8, 462.4
2000-07-13,   3.5, 474.5
2000-07-14,   5.3, 457.4
